RNA,ID,Length,total fragments,Avg lifetime,StdDev
chaA,579,1101,3,2.537916667,0.108640493
ychN,580,354,1,15.0165,0
purU,586,843,2,5.650515,0.011405
ychJ,587,459,1,3.06102,0
galU,588,909,3,3.960416667,0.481207111
hns,589,414,1,3.51927,0
tdk,590,618,2,1.590695,0.008675
adhE,592,2676,6,3.396655,0.276270629
ychE,593,648,2,1.009618,0.057902
oppABCDF,594,5587,6,5.926878333,0.668447424
tonB,598,720,2,1.0825765,0.2913535
yciA,599,399,1,2.35723,0
rluB,602,876,2,1.61466,0.16395
yciK-btuR,603,1346,4,4.9798925,0.369223905
sohB,604,1050,3,6.36769,1.323583449
topA,606,2598,6,2.305983333,0.142604543
cysB,607,975,3,4.2728,0.552695109
acnA,609,2676,6,8.701861667,1.471850853
ribA,610,591,1,2.59301,0
pgpB,611,765,2,1.84051,0.01863
gmr,613,1986,6,2.333825,0.185570896
rnb,614,1935,6,1.66752,0.105215547
fabI,616,789,2,8.70354,4.13556
ycjD,617,354,1,1.45886,0
puuA,620,1419,4,3.54764,0.1212821
puuDR,621,1349,4,3.202295,0.877452912
tpx,627,507,1,5.22996,0
mppA,630,1614,5,2.025308,0.448559569
uspE,634,951,3,5.16037,0.568979113
fnr,635,753,2,1.668195,0.016555
ydaL,638,564,1,2.9775,0
ttcA,643,936,3,2.02873,0.160176887
ydbK,656,3525,6,10.37472333,1.307573738
azoR,670,606,2,5.625495,0.388545
cybB,675,531,1,1.97086,0
ydcI,679,924,3,2.12964,0.215190776
mdoD,681,1656,5,2.3729,0.06415057
ydcL,684,669,2,5.336215,0.169665
ydcP,690,1962,6,2.604375,0.178174535
yncD,701,2103,6,1.59348,0.089199932
yncE,702,1062,3,7.77577,2.275892192
ansP,703,1500,5,8.46268,1.526376001
yddM,716,363,1,2.82223,0
maeA,718,1698,5,6.812092,1.095742426
osmC,719,432,1,9.58856,0
yneE,731,915,3,1.32588,0.13322584
marC,739,666,2,2.180335,0.168915
marRAB,740,1088,3,2.181323333,0.439674333
dcp,748,2046,6,5.998856667,1.550561478
ydfG,749,747,2,4.735645,0.584965
ydfH,750,687,2,1.770115,0.118915
ynfA,774,327,1,1.71078,0
ynfB-speG,775,937,3,2.19311,0.069249956
ydgH,786,945,3,3.182233333,0.216992997
rstAB,787,2034,6,0.707664,0.128573803
fumA,788,1647,5,11.600432,2.477395412
manA,789,1176,3,2.514526667,0.413642961
ydgA,790,1509,5,2.467494,0.233967562
uidR,791,591,1,2.25414,0
add,795,1002,3,3.58742,0.17315589
ydgJ,796,1041,3,3.771593333,0.102114905
tppB,799,1503,5,5.244482,1.180100269
gst,800,606,2,3.588265,0.520475
slyB,803,468,1,2.22067,0
slyA,804,435,1,3.24751,0
ydhF,807,897,2,2.45005,0.06843
nemA,809,1098,3,8.187053333,4.911352866
gloA,810,408,1,5.87827,0
grxD,811,348,1,13.6083,0
ydhO,812,816,2,1.053374,0.111066
sodB,813,582,1,25.8787,0
cfa,816,1149,3,5.867946667,0.742683356
ribC,817,642,2,3.276365,0.035205
mdtK,818,1374,4,2.627065,0.156940942
ydhQ,819,1257,4,4.80153,0.438263531
ydhR,821,306,1,12.3787,0
pykF,824,1413,4,2.097365,0.20586952
ydiK,828,1113,3,3.501903333,0.445189304
pps,836,2379,6,14.54744833,5.155463845
ppsR,837,834,2,3.75364,0.01665
aroH,838,1047,3,2.837353333,0.273949009
ydiU,840,1437,4,1.3791525,0.152613002
nlpC,842,465,1,2.3593,0
ydiY,846,759,2,4.07486,0.13031
yniB,850,537,1,2.02352,0
yniC,851,669,2,4.50359,0.50437
ydjM,852,591,1,3.24413,0
ydjN,853,1392,4,3.04784,0.555812278
osmE,857,339,1,5.38471,0
nadE,858,828,2,11.677695,1.864205
xthA,860,807,2,2.748195,0.104825
gdhA,864,1344,4,2.7358275,0.113678452
sppA,866,1857,6,1.91402,0.213210976
ansA-pncA,867,1669,5,2.814582,1.09434102
msrB,872,414,1,2.92211,0
yeaE,873,855,2,2.813145,0.318335
mipA,874,747,2,13.57575,2.28815
yeaK,878,504,1,3.44059,0
yeaO,881,348,1,3.94607,0
yeaP,883,1026,3,1.029436333,0.123794672
leuE,886,639,2,1.98882,0.00584
rnd,891,1128,3,1.632023333,0.15864421
fadD-sroD,892,1730,5,2.366206,0.343624813
yoaA,893,1911,6,1.55225,0.27481386
yoaB,894,345,1,4.6354,0
yoaC,895,360,1,2.68843,0
pabB-nudL,897,1944,6,2.301021667,0.226074413
sdaA,898,1365,4,3.9665125,0.555518383
manXYZ,901,2699,6,11.76886333,3.370665786
yobD,902,459,1,5.44955,0
kdgR,906,792,2,2.033895,0.073445
htpX,908,882,2,2.227535,0.088245
yebR,909,552,1,3.01199,0
rsmF,911,1440,4,2.2224025,0.109675842
yobA-yebZY,915,1605,5,2.524306,0.166575005
yebF,918,357,1,3.54061,0
zwf,921,1476,4,4.5366125,0.495734878
yebK,922,870,2,1.49027,0.07588
pykA,923,1443,4,10.447325,2.807822912
lpxM,924,972,3,1.111073333,0.074654236
yebA,925,1323,4,1.6246275,0.259153392
znuA,926,933,3,3.932103333,0.919248508
znuCB,927,1538,5,1.654058,0.267727195
aspS,929,1773,5,3.006818,0.259838293
yecN-cmoAB,931,2148,6,2.317238333,0.404148713
cutC,933,441,1,5.85596,0
yecM,934,567,1,3.43677,0
argS,935,1734,5,2.454336,0.213259816
yecT,936,489,1,1.46892,0
flhBAE,937,3612,6,1.374102,1.406176907
ftnB,942,504,1,1.62291,0
yecR,944,324,1,1.70329,0
ftnA,945,498,1,3.0975,0
yecA,948,666,2,2.791795,0.124655
pgsA,949,549,1,1.20761,0
yodB,976,531,1,3.13259,0
amn,983,1455,4,9.569795,2.125973237
yeeN,984,717,2,2.79185,0.13353
yeeX,999,330,1,2.92622,0
sbcB,1003,1428,4,1.457965,0.170764912
plaP,1005,1359,4,4.214625,0.260912138
yeeZ,1007,825,2,3.165915,0.503555
cld,1009,981,3,2.19755,0.07233509
ugd,1010,1167,3,1.536093333,0.052350423
gnd,1011,1407,4,44.38665,50.33268051
galF,1014,894,2,2.92396,0.4815
yegH,1015,1584,5,2.226146,0.137724995
asmA,1016,1854,6,1.366043,0.554773071
yegD,1019,1353,4,7.94123,1.625297109
yegQ,1026,1362,4,3.086735,0.124420242
mrp,1036,1110,3,3.54313,0.285669645
metG,1037,2034,6,3.392851667,0.316049527
yehS,1042,471,1,2.23638,0
bglX,1045,2298,6,2.54696,0.157660425
dld,1046,1716,5,5.641592,1.127233194
pbpG,1047,933,3,1.178343333,0.080884365
yohD,1049,579,1,1.08595,0
dusC,1053,948,3,1.643,0.162411217
cdd,1055,885,2,5.04473,0.37897
yeiG,1059,837,2,9.44439,0.15157
lysP,1061,1470,4,1.938065,0.078476366
yeiE,1062,882,2,2.68341,0.1326
nfo,1064,858,2,10.25575,3.88225
yeiI,1065,1089,3,3.502246667,0.051780754
yeiP,1071,573,1,3.09183,0
yeiR-lpxT,1073,1739,5,2.943174,0.533678698
spr,1074,567,1,0.872986,0
yejG,1077,345,1,3.35893,0
bcr,1078,1191,3,1.857326667,0.267213794
rsuA,1079,696,2,1.605545,0.042525
yejK,1082,1008,3,4.000013333,0.48809542
yejLM,1083,2008,6,1.257338833,0.49444797
eco,1088,489,1,6.73638,0
mqo,1089,1647,5,3.767472,0.516493878
yojI,1090,1644,5,1.550814,0.120477707
apbE,1091,1056,3,0.607852667,0.154767764
rcsC,1094,2802,6,1.198911667,0.288578381
gyrA,1097,2628,6,4.159996667,0.895998195
ubiG,1098,723,2,3.518095,0.183145
inaA,1100,651,2,2.745585,0.187975
yfaY,1105,1203,4,4.31719,0.872684536
yfaZ,1106,543,1,4.26114,0
nudI,1107,426,1,1.45492,0
ais,1108,603,2,1.242875,0.018175
elaB,1109,306,1,7.1388,0
elaA,1110,462,1,2.88211,0
rbn,1111,918,3,2.24798,0.187211571
lrhA,1119,939,3,4.156176667,2.794098605
yfbUT,1121,1156,3,5.503016667,0.68655724
yfbV,1122,456,1,3.63389,0
yfcD,1124,543,1,4.10184,0
yfcE,1125,555,1,4.87733,0
folX-yfcH,1128,1277,4,3.8723975,1.196596674
accD,1130,915,3,3.565593333,0.363425979
fabB,1131,1221,4,3.6484,0.34849838
yfcN,1133,552,1,0.879978,0
sixA,1136,486,1,4.41205,0
fadL,1139,1347,4,7.29359,0.927600422
mlaA,1141,756,2,4.923585,0.084925
alaC,1157,1239,4,3.7940875,1.112382234
glk,1159,966,3,3.632056667,0.446833497
mntH,1162,1239,4,1.73563,0.556731782
nupC,1163,1203,4,3.6518275,0.203362998
yfeCD,1167,739,2,0.9036755,0.0218105
gltX,1168,1416,4,2.658735,0.303449817
valUXY-lysV,1169,398,1,2.97266,0
zipA,1174,987,3,1.27258,0.182827049
cysZ,1175,762,2,2.825335,0.184135
cysK,1176,972,3,12.57696667,1.225809733
pdxK,1177,852,2,9.31776,1.57544
ucpA,1180,792,2,2.82773,0.11915
maeB,1191,2280,6,7.052383333,1.364116399
ypfH,1198,699,2,2.429675,0.102975
purC,1199,714,2,3.687375,0.238615
yfgO,1201,1062,3,1.6554,0.295324285
yfgCD,1202,1844,6,2.043225,0.410897639
hda,1203,702,2,1.946955,0.136585
upp-uraA,1204,2002,6,4.36556,0.834994152
purMN,1205,1676,5,3.85457,0.363133372
