"Name"	"Blattner number"	"Location E coli B"
"mntR"	"b0817"	"C"
"ybiR"	"b0818"	"IM"
"ybiS"	"b0819"	"P"
"ybiT"	"b0820"	"C"
"ybiU"	"b0821"	"C"
"ybiV"	"b0822"	"C"
"ybiW"	"b0823"	"C"
"ybiY"	"b0824"	"C"
"fsa"	"b0825"	"C"
"moeB"	"b0826"	"C"
"moeA"	"b0827"	"C"
"ybiK"	"b0828"	"C"
"yliA"	"b0829"	"C"
"yliB"	"b0830"	"P"
"yliC"	"b0831"	"IM"
"yliD"	"b0832"	"IM"
"yliE"	"b0833"	"C"
"yliF"	"b0834"	"IM"
"yliG"	"b0835"	"C"
"yliH"	"b0836"	"C"
"yliI"	"b0837"	"P"
"yliJ"	"b0838"	"C"
"dacC"	"b0839"	"IM"
"deoR"	"b0840"	"C"
"ybjG"	"b0841"	"IM"
"cmr"	"b0842"	"IM"
"ybjH"	"b0843"	"P"
"ybjI"	"b0844"	"C"
"ybjJ"	"b0845"	"IM"
"ybjK"	"b0846"	"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"C"
		"IM"
		"IM"
		"C"
		"C"
		"IM"
		"IM"
		"C"
		"C"
		"C"
		"C"
		"C"
"tfaE"	"b1156"	"C"
		"C"
		"C"
		"C"
		"C"
"ybjL"	"b0847"	"IM"
"ybjM"	"b0848"	"IM"
"grxA"	"b0849"	"C"
"ybjC"	"b0850"	"IM"
"nfsA"	"b0851"	"C"
"rimK"	"b0852"	"C"
"ybjN"	"b0853"	"C"
"potF"	"b0854"	"P"
"potG"	"b0855"	"C"
"potH"	"b0856"	"IM"
"potI"	"b0857"	"IM"
"ybjO"	"b0858"	"IM"
"ybjF"	"b0859"	"C"
"artJ"	"b0860"	"P"
"artM"	"b0861"	"IM"
"artQ"	"b0862"	"IM"
"artI"	"b0863"	"P"
"artP"	"b0864"	"IM"
"ybjP"	"b0865"	"IM"
"ybjQ"	"b0866"	"C"
"ybjR"	"b0867"	"P"
"ybjS"	"b0868"	"C"
"ybjT"	"b0869"	"C"
"ltaE"	"b0870"	"C"
"poxB"	"b0871"	"C"
"hcr"	"b0872"	"C"
"hcp"	"b0873"	"C"
"ybjE"	"b0874"	"IM"
"aqpZ"	"b0875"	"IM"
"ybjD"	"b0876"	"C"
"ybjX"	"b0877"	"C"
"macA"	"b0878"	"IM"
"macB"	"b0879"	"IM"
"cspD"	"b0880"	"C"
"clpS"	"b0881"	"C"
"clpA"	"b0882"	"C"
"infA"	"b0884"	"C"
"aat"	"b0885"	"C"
"cydC"	"b0886"	"IM"
"cydD"	"b0887"	"IM"
"trxB"	"b0888"	"C"
"lrp"	"b0889"	"C"
"ftsK"	"b0890"	"IM"
"lolA"	"b0891"	"P"
"ycaJ"	"b0892"	"C"
"serS"	"b0893"	"C"
"dmsA"	"b0894"	"P"
"dmsB"	"b0895"	"IM"
"dmsC"	"b0896"	"IM"
"ycaC"	"b0897"	"C"
"ycaD"	"b0898"	"IM"
"ycaM"	"b0899"	"IM"
"ycaN"	"b0900"	"C"
"ycaK"	"b0901"	"C"
"pflA"	"b0902"	"C"
"pflB"	"b0903"	"C"
"focA"	"b0904"	"IM"
"ycaO"	"b0905"	"C"
"ycaP"	"b0906"	"IM"
"serC"	"b0907"	"C"
"aroA"	"b0908"	"C"
"ycaL"	"b0909"	"OM"
"cmk"	"b0910"	"C"
"rpsA"	"b0911"	"C"
