"proV"	"EG10771"	("osrA" "proU")	"b2677"	"ECK2671"
"yadG"	"EG12320"		"b0127"	"ECK0126"
"ytfR"	"EG12518"	("ytfS" "b4228 (obsolete)" "b4229 (obsolete)")	"b4485"	"ECK4224"
"yecC"	"EG12347"		"b1917"	"ECK1916"
"fecE"	"EG10290"		"b4287"	"ECK4277"
"oppF"	"EG10678"		"b1247"	"ECK1241"
"ybbL"	"G6266"		"b0490"	"ECK0484"
"mlaF"	"EG12801"	("vpsA(S.f.)" "yrbF")	"b3195"	"ECK3184"
"yphE"	"G7341"		"b2547"	"ECK2544"
"araG"	"EG10058"		"b1900"	"ECK1898"
"hisP"	"EG10452"		"b2306"	"ECK2300"
"dppF"	"EG12628"	("dppE")	"b3540"	"ECK3527"
"metN"	"EG11621"	("metD" "abc")	"b0199"	"ECK0199"
"oppD"	"EG10677"		"b1246"	"ECK1240"
"ugpC"	"EG11048"		"b3450"	"ECK3434"
"fepC"	"EG10295"		"b0588"	"ECK0581"
"nikE"	"EG12079"	("hydD" "hydC")	"b3480"	"ECK3464"
"ynjD"	"G6951"		"b1756"	"ECK1754"
"livG"	"EG10537"	("hrbD" "hrbC" "hrbB")	"b3455"	"ECK3439"
"mdlA"	"G6248"	("mdl")	"b0448"	"ECK0442"
"ssuB"	"EG12358"	("ycbE")	"b0933"	"ECK0924"
"ddpD"	"G6778"	("yddP")	"b1484"	"ECK1478"
"ydcT"	"G6752"		"b1441"	"ECK1435"
"pstB"	"EG10783"	("phoT")	"b3725"	"ECK3718"
"sapF"	"EG12305"		"b1290"	"ECK1285"
"yjjK"	"EG12343"		"b4391"	"ECK4383"
"btuD"	"EG10128"		"b1709"	"ECK1707"
"cysA"	"EG10183"		"b2422"	"ECK2417"
"ybiT"	"G6423"		"b0820"	"ECK0810"
"yejF"	"EG12041"		"b2180"	"ECK2174"
"gltL"	"EG12663"		"b0652"	"ECK0645"
"modF"	"EG11677"	("chlD" "phrA")	"b0760"	"ECK0749"
"ftsE"	"EG10340"		"b3463"	"ECK3447"
"potA"	"EG10749"		"b1126"	"ECK1112"
"sapD"	"EG12304"	("trkE")	"b1291"	"ECK1286"
"lsrA"	"G6800"	("ego" "ydeX")	"b1513"	"ECK1506"
"gsiA"	"G6429"	("yliA")	"b0829"	"ECK0819"
"ddpF"	"G6777"	("yddO")	"b1483"	"ECK1477"
"ycjV"	"G6656"		"b1318"	"ECK1313"
"nikD"	"EG12078"	("hydD" "hydC")	"b3479"	"ECK3463"
"tauB"	"G6218"	("yaiQ" "ssiB")	"b0366"	"ECK0363"
"rbsA"	"EG10814"	("rbsT" "rbsP")	"b3749"	"ECK3743"
"phnC"	"EG10713"		"b4106"	"ECK4099"
"dppD"	"EG12627"		"b3541"	"ECK3528"
"yhdZ"	"EG12837"		"b3271"	"ECK3258"
"livF"	"EG10536"		"b3454"	"ECK3438"
"mglA"	"EG10592"	("mglP" "mgl")	"b2149"	"ECK2142"
"znuC"	"G7018"	("yebM")	"b1858"	"ECK1859"
"xylG"	"EG12275"		"b3567"	"ECK3556"
"ybhF"	"G6411"		"b0794"	"ECK0783"
"artP"	"EG11624"		"b0864"	"ECK0855"
"modC"	"EG10152"	("chlD" "modE" "narD")	"b0765"	"ECK0754"
"malK"	"EG10558"	("malB")	"b4035"	"ECK4027"
"ybbA"	"EG11657"		"b0495"	"ECK0489"
"glnQ"	"EG10389"		"b0809"	"ECK0798"
"lptB"	"EG11680"	("yhbG")	"b3201"	"ECK3190"
"yheS"	"EG12903"		"b3352"	"ECK3340"
"fhuC"	"EG10304"		"b0151"	"ECK0150"
"potG"	"EG11630"		"b0855"	"ECK0846"
"malE"	"EG10554"		"b4034"	"ECK4026"
"artI"	"EG11625"		"b0863"	"ECK0854"
"proX"	"EG10773"	("osrA" "proU")	"b2679"	"ECK2673"
"fliY"	"G7039"	("yzzR" "ssi7")	"b1920"	"ECK1919"
"araF"	"EG10057"		"b1901"	"ECK1899"
"cysP"	"EG10195"		"b2425"	"ECK2420"
"phnD"	"EG10714"	("phn" "psiD")	"b4105"	"ECK4098"
"osmF"	"EG12012"	("yehZ")	"b2131"	"ECK2124"
"nikA"	"EG12075"	("hydD" "hydC")	"b3476"	"ECK3460"
"mglB"	"EG10593"		"b2150"	"ECK2143"
"ytfQ"	"EG12517"		"b4227"	"ECK4223"
"artJ"	"EG11628"		"b0860"	"ECK0851"
"yhdW"	"EG12834"		"b3268"	"ECK3255"
"potF"	"EG11629"		"b0854"	"ECK0845"
"ugpB"	"EG11047"	("psiB" "psiC")	"b3453"	"ECK3437"
"mlaD"	"EG12799"	("vpsC(S.f.)" "yrbD")	"b3193"	"ECK3182"
"sbp"	"EG10929"		"b3917"	"ECK3909"
"tbpA"	"EG11574"	("yabL" "sfuA" "thiB")	"b0068"	"ECK0069"
"argT"	"EG10072"		"b2310"	"ECK2304"
"glnH"	"EG10386"		"b0811"	"ECK0800"
"yejA"	"EG12037"		"b2177"	"ECK2171"
"gltI"	"G6359"	("yzzK" "ybeJ")	"b0655"	"ECK0648"
"hisJ"	"EG12124"		"b2309"	"ECK2303"
"sapA"	"G2002"		"b1294"	"ECK1289"
"lsrB"	"G6803"	("yneA")	"b1516"	"ECK1509"
"rbsB"	"EG10815"	("prlB" "rbsP")	"b3751"	"ECK3745"
"btuF"	"EG12334"	("yadT")	"b0158"	"ECK0157"
"oppA"	"EG10674"		"b1243"	"ECK1237"
"fecB"	"EG10287"		"b4290"	"ECK4280"
"potD"	"EG10752"		"b1123"	"ECK1109"
"ycjN"	"G6648"		"b1310"	"ECK1305"
"alsB"	"EG12458"	("yjcX")	"b4088"	"ECK4081"
"dppA"	"EG10248"	("alu" "dpp" "fpp")	"b3544"	"ECK3531"
"pstS"	"EG10734"	("R2pho" "T" "nmpA" "phoR2a" "phoS")	"b3728"	"ECK3721"
"ddpA"	"G6781"	("yddS")	"b1487"	"ECK1481"
"tauA"	"G6217"	("yaiR" "ssiA")	"b0365"	"ECK0362"
"mlaC"	"G7659"	("yrbC")	"b3192"	"ECK3181"
"lptA"	"G7665"	("yhbN")	"b3200"	"ECK3189"
"ygiS"	"G7570"		"b3020"	"ECK3011"
"modA"	"EG12427"		"b0763"	"ECK0752"
"ydcS"	"G6751"		"b1440"	"ECK1434"
"livK"	"EG10540"	("hrbD" "hrbC" "hrbB")	"b3458"	"ECK3442"
"yphF"	"G7342"		"b2548"	"ECK2545"
"znuA"	"G7017"	("yzzP" "yebL")	"b1857"	"ECK1858"
"fhuD"	"EG10305"		"b0152"	"ECK0151"
"ssuA"	"G6478"	("ycbO")	"b0936"	"ECK0927"
"fepB"	"EG10294"		"b0592"	"ECK0585"
"gsiB"	"G6430"	("yliB")	"b0830"	"ECK0820"
"xylF"	"EG20252"	("xylT")	"b3566"	"ECK3555"
"metQ"	"EG11504"	("metD" "yaeC")	"b0197"	"ECK0197"
"livJ"	"EG10539"	("hrbD" "hrbC" "hrbB")	"b3460"	"ECK3444"
"ynjC"	"G6950"		"b1755"	"ECK1753"
"ybhS"	"G6410"		"b0793"	"ECK0782"
