chpSB	TU0-1261	(PM0-1422)		(EG12096 EG11250)
cirA	TU00015	(PM00020)		(EG10155)
cirA	TU00014	(PM00019)		(EG10155)
citCDEFXG	TU0-12999	(PM0-9889)		(G6344 G6343 G6342 G6341 G6340 G6339)
citCDEFXG	TU0-14750	(PM0-10377)		(G6339 G6340 G6341 G6342 G6343 G6344)
citT	TU0-12998	(PM0-44552)		(G6338)
citT	TU0-41555	(PM0-44553)		(G6338)
clcA	TU0-12821	(PM0-44371)		(EG12331)
clcB	TU0-13337			(G6850)
clpA	TU00446	(PM00595)		(EG10156)
clpA	TU00445	(PM00594)		(EG10156)
clpA	TU00447	(PM00596)		(EG10156)
clpB	TU00421	(PM00418)		(EG10157)
clpPX	TU0-14490	(PM0-9744)	(TERM58)	(EG10159 EG10158)
clpPX	TU00251	(PM00339)	(TERM58)	(EG10158 EG10159)
clpPX	TU00419	(PM00569)	(TERM58)	(EG10158 EG10159)
clpS	TU0-41612	(PM0-44661)		(G6463)
clpS	TU0-14357	(PM0-44660)		(G6463)
clpX-lon	TU0-14455	(PM0-9696)		(EG10542 EG10159)
clsA-yciU	TU863	(PM1023)		(G6633 EG11608)
clsC	TU0-14619	(PM0-10014)		(G6551)
cmk-rpsA	TU361	(PM442)		(EG10900 EG11265)
cmr	TU0-14699	(PM0-10254)	(TERM141)	(G6440)
cmr	TU423	(PM525)	(TERM141)	(G6440)
cmtBA-yggPFDC	TU0-13801			(EG11791 EG11792 G7520 EG11245 EG11162 EG11161)
cnu	TU0-13352	(PM0-45012)		(G6869)
cnu	TU0-41819	(PM0-45013)		(G6869)
cnu	TU0-41820	(PM0-45014)		(G6869)
cnu	TU0-41821	(PM0-45015)		(G6869)
coaA	TU0-14228	(PM0-10224)		(EG10922)
coaE-zapD-yacG	TU0-12810			(EG12312 EG12313 EG12314)
cobC	TU0-41564	(PM0-44567)		(G6349)
cobC	TU0-41565	(PM0-44568)		(G6349)
cobT	TU0-41915	(PM0-45186)		(EG12151)
cobUST	TU0-8368	(PM0-8751)		(EG12151 EG12150 EG13238)
cobUST	TU00252	(PM0-8750)		(EG12151 EG12150 EG13238)
codBA	TU00197	(PM00278)		(EG11327 EG11326)
cof	TU0-12935			(G6246)
comR	TU0-41671	(PM0-44751)		(G6569)
copA	TU0-3122	(PM172)		(G6260)
corA	TU00455	(PM00602)		(EG11463)
cpdB	TU00120	(PM00163)		(EG10160)
cptBA	TU0-13788	(PM0-10117)		(G7510 G7509)
cpxA	TU0-42362	(PM0-45960)		(EG10163)
cpxP	TU0-1041	(PM0-1201)	(TERM0241)	(G7816)
cpxRA	TU0-3	(PM0-4)		(EG10163 EG10020)
cra	TU0-12808	(PM0-44353)		(EG10338)
crcB	TU0-41556	(PM0-44555)		(EG12209)
crcB	TU0-8778	(PM0-44554)		(EG12209)
