"Name"	"Blattner number"	"Location E coli K-12"
"yfgL"	"b2512"	"OM"
"yfgM"	"b2513"	"IM"
"ygdE"	"b2806"	"?"
"ygfZ"	"b2898"	"C"
"ygiC"	"b3038"	"?"
"ygiF"	"b3054"	"?"
"ygiN"	"b3029"	"?"
"yhbC"	"b3170"	"?"
"yhbJ"	"b3205"	"?"
"yhbN"	"b3200"	"P"
"yhbW"	"b3160"	"?"
"yhbZ"	"b3183"	"?"
"yhgF"	"b3407"	"?"
"yhhX"	"b3440"	"?"
"yhiR"	"b3499"	"?"
"yiaJ"	"b3574"	"?"
"yidA"	"b3697"	"C"
"yjbH"	"b4029"	"?"
"yjiA"	"b4352"	"?"
"yleA"	"b0661"	"?"
"yncD"	"b1451"	"?"
"yncE"	"b1452"	"P"
"yniC"	"b1727"	"?"
"yqgE"	"b2948"	"C"
"yraL"	"b3146"	"?"
"yrbC"	"b3192"	"P"
"ysgA"	"b3830"	"?"
