"Gene Name"	"Accession-1"	"Object ID"
EG12903	"b3352"	"EG12903"
EG12041	"b2180"	"EG12041"
G7018	"b1858"	"G7018"
EG11680	"b3201"	"EG11680"
G6778	"b1484"	"G6778"
EG12518	"b4485"	"EG12518"
G6656	"b1318"	"G6656"
EG12320	"b0127"	"EG12320"
EG11048	"b3450"	"EG11048"
G6423	"b0820"	"G6423"
EG10128	"b1709"	"EG10128"
EG12059	"b2201"	"EG12059"
G7341	"b2547"	"G7341"
EG12801	"b3195"	"EG12801"
G6800	"b1513"	"G6800"
G6752	"b1441"	"G6752"
EG12347	"b1917"	"EG12347"
EG11572	"b0066"	"EG11572"
G6429	"b0829"	"G6429"
EG10783	"b3725"	"EG10783"
EG10152	"b0765"	"EG10152"
EG12837	"b3271"	"EG12837"
EG12010	"b2129"	"EG12010"
G6951	"b1756"	"G6951"
EG11657	"b0495"	"EG11657"
G6777	"b1483"	"G6777"
EG12358	"b0933"	"EG12358"
EG11621	"b0199"	"EG11621"
G6574	"b1117"	"G6574"
G7039	"b1920"	"G7039"
EG12427	"b0763"	"EG12427"
EG10734	"b3728"	"EG10734"
G6803	"b1516"	"G6803"
EG12075	"b3476"	"EG12075"
G6430	"b0830"	"G6430"
EG11574	"b0068"	"EG11574"
EG10929	"b3917"	"EG10929"
EG10195	"b2425"	"EG10195"
G7342	"b2548"	"G7342"
G6949	"b1754"	"G6949"
EG10674	"b1243"	"EG10674"
G6751	"b1440"	"G6751"
EG12012	"b2131"	"EG12012"
G6478	"b0936"	"G6478"
EG11047	"b3453"	"EG11047"
G7570	"b3020"	"G7570"
EG12517	"b4227"	"EG12517"
G7017	"b1857"	"G7017"
EG12334	"b0158"	"EG12334"
EG10714	"b4105"	"EG10714"
G6781	"b1487"	"G6781"
EG12037	"b2177"	"EG12037"
G6648	"b1310"	"G6648"
EG11504	"b0197"	"EG11504"
G7665	"b3200"	"G7665"
G6270	"b0496"	"G6270"
EG12340	"b0262"	"EG12340"
G0-10439	"b4513"	"G0-10439"
G6421	"b0818"	"G6421"
EG10936	"b0098"	"EG10936"
EG10300	"b2610"	"EG10300"
EG10937	"b3609"	"EG10937"
EG12554	"b4302"	"EG12554"
EG11710	"b3683"	"EG11710"
G7635	"b3140"	"G7635"
EG12322	"b0129"	"EG12322"
G7246	"b2383"	"G7246"
EG12770	"b3139"	"EG12770"
EG12556	"b4304"	"EG12556"
EG11791	"b2934"	"EG11791"
G7856	"b4193"	"G7856"
EG12494	"b4194"	"EG12494"
G7632	"b3133"	"G7632"
EG12766	"b3135"	"EG12766"
EG11792	"b2933"	"EG11792"
EG12495	"b4195"	"EG12495"
EG11709	"b3682"	"EG11709"
G7633	"b3134"	"G7633"
G7250	"b2387"	"G7250"
G0-10241	"b4565"	"G0-10241"
EG11908	"b3949"	"EG11908"
EG12769	"b3138"	"EG12769"
EG11863	"b3899"	"EG11863"
G6545	"b1039"	"G6545"
EG11019	"b3290"	"EG11019"
G7874	"b4220"	"G7874"
EG11167	"b3040"	"EG11167"
G7875	"b4221"	"G7875"
G7186	"b2292"	"G7186"
G6282	"b0513"	"G6282"
G7708	"b3330"	"G7708"
G7107	"b2062"	"G7107"
G7702	"b3324"	"G7702"
G6572	"b1115"	"G6572"
G7929	"b4332"	"G7929"
G6445	"b0847"	"G6445"
G7729	"b3377"	"G7729"
G7709	"b3331"	"G7709"
G7108	"b2063"	"G7108"
G6178	"b0308"	"G6178"
EG11466	"b3819"	"EG11466"
G7706	"b3328"	"G7706"
G6984	"b1798"	"G6984"
EG12376	"b2410"	"EG12376"
G7703	"b3325"	"G7703"
G6859	"b1601"	"G6859"
EG12024	"b2142"	"EG12024"
G6458	"b0874"	"G6458"
EG11895	"b2013"	"EG11895"
G7745	"b3402"	"G7745"
G7526	"b2950"	"G7526"
G6431	"b0831"	"G6431"
EG11671	"b2223"	"EG11671"
G7710	"b3332"	"G7710"
EG11536	"b3685"	"EG11536"
G7707	"b3329"	"G7707"
EG12445	"b2578"	"EG12445"
G7704	"b3326"	"G7704"
EG12173	"b3334"	"EG12173"
G7701	"b3323"	"G7701"
G7867	"b4210"	"G7867"
G7534	"b2966"	"G7534"
G6443	"b0845"	"G6443"
G7711	"b3333"	"G7711"
G7873	"b4218"	"G7873"
G7659	"b3192"	"G7659"
G7406	"b2683"	"G7406"
G7405	"b2682"	"G7405"
G7216	"b2346"	"G7216"
G6850	"b1592"	"G6850"
G6674	"b1342"	"G6674"
G6465	"b0891"	"G6465"
G6412	"b0795"	"G6412"
G6260	"b0484"	"G6260"
G6233	"b0402"	"G6233"
G6193	"b0328"	"G6193"
EG12933	"b3410"	"EG12933"
EG11988	"b2109"	"EG11988"
EG11338	"b1051"	"EG11338"
EG10657	"b3661"	"EG10657"
G7424	"b2748"	"G7424"
EG11878	"b3928"	"EG11878"
EG10955	"b3129"	"EG10955"
G6486	"b0946"	"G6486"
EG10342	"b0093"	"EG10342"
EG11376	"b3017"	"EG11376"
EG12371	"b3163"	"EG12371"
EG10599	"b4143"	"EG10599"
G7680	"b3232"	"G7680"
EG11086	"b0083"	"EG11086"
EG10347	"b0095"	"EG10347"
G6936	"b1731"	"G6936"
EG11529	"b3933"	"EG11529"
G0-10261	"b4520"	"G0-10261"
EG10340	"b3463"	"EG10340"
EG12855	"b0956"	"EG12855"
EG10600	"b4142"	"EG10600"
EG10237	"b4361"	"EG10237"
G7864	"b4206"	"G7864"
EG12297	"b3613"	"EG12297"
EG10013	"b1856"	"EG10013"
G7644	"b3150"	"G7644"
EG11003	"b0436"	"EG11003"
EG10935	"b1916"	"EG10935"
EG11494	"b1097"	"EG11494"
EG10618	"b0924"	"EG10618"
EG12878	"b2910"	"EG12878"
EG11299	"b3247"	"EG11299"
EG12313	"b0102"	"EG12313"
EG11191	"b3641"	"EG11191"
EG12111	"b2742"	"EG12111"
EG11069	"b3811"	"EG11069"
G7430	"b2760"	"G7430"
G7427	"b2757"	"G7427"
EG11250	"b4224"	"EG11250"
G6665	"b1329"	"G6665"
EG10678	"b1247"	"EG10678"
G0-9121	"b4539"	"G0-9121"
EG12844	"b2017"	"EG12844"
G7688	"b3243"	"G7688"
EG11489	"b1042"	"EG11489"
G7428	"b2758"	"G7428"
EG11252	"b0923"	"EG11252"
G7425	"b2755"	"G7425"
EG11244	"b2922"	"EG11244"
EG12845	"b2754"	"EG12845"
EG11933	"b4050"	"EG11933"
G7429	"b2759"	"G7429"
G7426	"b2756"	"G7426"
G6548	"b1043"	"G6548"
EG10677	"b1246"	"EG10677"
EG12634	"b2761"	"EG12634"
EG12780	"b3149"	"EG12780"
EG11203	"b3865"	"EG11203"
EG10596	"b1176"	"EG10596"
EG11210	"b4109"	"EG11210"
G7656	"b3183"	"G7656"
EG10270	"b2566"	"EG10270"
EG12396	"b2067"	"EG12396"
EG10149	"b1887"	"EG10149"
EG10146	"b1888"	"EG10146"
G7572	"b3022"	"G7572"
G6972	"b1786"	"G6972"
G6776	"b1481"	"G6776"
G6532	"b1025"	"G6532"
EG12403	"b1218"	"EG12403"
EG10150	"b1882"	"EG10150"
EG12002	"b2121"	"EG12002"
EG10147	"b1883"	"EG10147"
G7049	"b1956"	"G7049"
EG12880	"b2604"	"EG12880"
EG10151	"b1881"	"EG10151"
EG12252	"b3525"	"EG12252"
EG10148	"b1884"	"EG10148"
G7354	"b2603"	"G7354"
EG11643	"b1535"	"EG11643"
EG10554	"b4034"	"EG10554"
G6971	"b1785"	"G6971"
G6623	"b1194"	"G6623"
G7197	"b2305"	"G7197"
G7934	"b4584"	"G7934"
EG11748	"b0132"	"EG11748"
EG11752	"b1897"	"EG11752"
EG10110	"b0312"	"EG10110"
G6417	"b0808"	"G6417"
EG11036	"b3339"	"EG11036"
EG12202	"b4241"	"EG12202"
EG10679	"b1283"	"EG10679"
EG11885	"b1048"	"EG11885"
EG10111	"b0313"	"EG10111"
G7395	"b2665"	"G7395"
EG10044	"b1739"	"EG10044"
EG11037	"b3980"	"EG11037"
G0-41	"b4410"	"G0-41"
EG10773	"b2679"	"EG10773"
EG10680	"b1482"	"EG10680"
G7528	"b2952"	"G7528"
EG11391	"b4376"	"EG11391"
G0-9562	"b4411"	"G0-9562"
EG11017	"b1197"	"EG11017"
EG12866	"b1831"	"EG12866"
EG10771	"b2677"	"EG10771"
EG10241	"b0014"	"EG10241"
EG10897	"b3461"	"EG10897"
EG11751	"b1896"	"EG11751"
G7743	"b3400"	"G7743"
EG11178	"b3167"	"EG11178"
EG10166	"b3556"	"EG10166"
EG11837	"b3871"	"EG11837"
EG10595	"b4171"	"EG10595"
G6511	"b0990"	"G6511"
EG10966	"b3650"	"EG10966"
G6839	"b1581"	"G6839"
G6600	"b1160"	"G6600"
EG11890	"b3506"	"EG11890"
EG11401	"b0384"	"EG11401"
EG10977	"b3229"	"EG10977"
EG10572	"b2781"	"EG10572"
EG10230	"b0145"	"EG10230"
EG11415	"b0812"	"EG11415"
EG10978	"b3228"	"EG10978"
EG10713	"b4106"	"EG10713"
G6838	"b1580"	"G6838"
EG10413	"b3779"	"EG10413"
G6479	"b0937"	"G6479"
EG11734	"b1020"	"EG11734"
G7521	"b2939"	"G7521"
EG11544	"b3512"	"EG11544"
G7000	"b1824"	"G7000"
EG11490	"b1493"	"EG11490"
EG11398	"b3510"	"EG11398"
G6158	"b0287"	"G6158"
EG11078	"b0020"	"EG11078"
