This file contains columns C, BY, BZ, and CA from Supplementary Data 7 of Covert et al. 2004. “Integrating high-throughput and computational data elucidates bacterial networks”. Nature. May 2004.			
			
	WT -- aerobic		
			
Accession	ec_aer_wild_O_a	ec_aer_wild_O_b	ec_aer_wild_O_c
b0338	245.421	254.741	268.514
	104.668	99.2533	105.306
b0339	563.563	606.688	568.292
b0340	137.695	162.1	167.43
	54.0307	54.0895	64.5559
b0341	588.586	679.94	471.645
	150.124	115.962	94.1618
b0342	36.4533	31.2884	33.3258
	55.2027	47.7175	51.4504
b0343	81.4056	82.0125	87.542
	27.2086	34.1474	33.1875
b0344	633.157	727.1	707.629
	135.677	145.033	125.738
b0345	334.184	365.188	395.307
	585.694	502.634	596.303
b0346	1216.57	1234.37	1222.52
	149.383	167.624	169.231
b0347	383.492	475.506	474.408
b0348	337.092	367.714	433.895
b0349	474.034	519.781	548.255
b0350	224.125	243.541	258.437
b0351	128.464	124.737	133.495
b0352	568.702	671.688	667.959
	37.0618	22.6868	26.2266
b0353	714.875	852.115	852.884
b0354	1452.87	1492.22	1489.45
	252.624	198.834	185.104
b0355	196.224	169.063	212.422
	221.497	173.126	188.279
b0356	1531.87	1388.64	1411.27
	1396.11	1001.27	904.22
b0357	1200.33	989.727	1018.3
	8.36843	8.48114	27.8606
b0358	87.9623	87.4926	101.874
b0359	70.4246	78.1851	79.357
b0360	928.992	848.112	819.854
b0361	1379.3	1319.84	1358.87
b0362	264.419	315.736	294.979
	445.896	501.531	478.988
b0363	54.4678	62.9562	48.9868
	309.009	342.933	431.848
b0364	287.289	356.737	378.884
	131.877	142.988	140.086
b0365	221.121	265.959	283.577
b0366	212.892	224.694	227.774
b0367	321.459	365.785	308.714
b0368	159.816	201.835	208.342
	132.785	132.845	136.25
b0369	1150.62	1198.52	1335.33
	3.10797	10.8279	7.79018
b0370	79.9868	77.1261	67.2877
	113.125	87.1547	70.3413
b0371	203.508	189.147	190.755
	62.6638	55.723	50.9174
b0372	390.346	335.412	357.117
b0373	1657.67	1592.83	1718.84
	292.329	294.166	294.327
b0374	131.672	148.943	166.142
	7.85924	6.3597	6.50217
b0375	81.4077	92.9251	120.782
b0376	341.367	336.112	413.709
	253.709	216.73	204.187
	116.078	93.7181	102.942
b0377	357.279	349.702	321.772
b0378	591.131	633.026	602.137
	245.11	235.881	278.976
b0379	294.978	375.465	288.266
	27.5072	31.8304	41.3205
b0380	262.334	248.627	256.204
	293.472	275.758	251.76
b0381	475.46	405.318	418.709
	67.9882	59.0571	43.9766
b0382	1491.05	1861.9	1375.19
	425.195	376.888	301.353
b0383	672.195	679.784	660.69
	118.466	104.303	141.925
b0384	850.257	844.24	935.145
	53.1613	46.5704	73.9755
b0385	168.798	182.65	180.113
b0386	1356.43	1426.91	1292.82
b0387	433.189	460.307	464.631
	91.7487	75.6369	73.7681
	1218.23	1316.96	1564.19
b0388	1653.07	1589.77	1610.48
	1434.92	1257.73	1391.59
b0389	1170.71	1170.76	1272.67
	376.07	318.257	384.779
b0390	404.682	345.11	411.537
	2026.38	2302.54	2225.51
b0391	1890.44	1949.13	1887.97
	387.799	380.853	346.55
b0392	233.941	241.494	268.272
	79.0476	75.4213	69.8389
b0393	1355.82	1271.75	1404.33
b0394	995.987	1012.69	984.582
b0395	540.187	578.136	581.968
	105.059	103.186	112.899
b0396	118.957	122.711	137.4
	277.706	224.638	187.642
b0397	780.323	773.412	769.17
b0398	469.735	512.554	518.92
	60.6149	57.2263	65.035
b0399	363.74	353.745	377.084
	553.075	513.5	592.986
b0400	139.798	140.92	139.414
	612.853	575.3	568.117
b0401	424.536	482.887	470.713
	238.167	211.831	206.483
b0402	326.215	396.004	382.531
	61.6013	74.0295	53.1621
b0403	431.738	497.016	534.754
	811.002	724.884	522.838
b0404	888.966	1092.09	945.411
	239.02	105.796	176.681
b0405	710.236	740.303	767.104
	1033.96	780.621	645.322
b0406	2060.3	2102.58	2413.81
b0407	2825.55	3182.82	3545.17
b0408	1405.81	1387.25	1575.89
b0409	1050.88	874.208	1029.5
	295.951	270.439	183.992
b0410	939.727	857.777	1002.18
	63.5969	59.0854	45.525
b0411	2410.29	2419.16	2831.4
	1026.16	1050.82	969.396
b0412	116.38	110.194	106.495
	550.584	446.258	504.268
b0413	1789.17	1786.42	1775.3
b0414	1264.12	1354.41	1293.62
	2549.89	2262.36	2178.61
b0415	2755.53	2672.15	2546.2
b0416	2868.95	3108.07	2960.36
	477.993	329.182	270.531
b0417	1441.78	1772.87	1674
b0418	1101.1	1067.86	873.451
	1419.97	1114.72	1059.91
b0419	1647.65	2300.97	2227.31
	225.195	188.103	203.135
b0420	996.391	1098.65	1027.71
b0421	1870.82	1866.07	1682.68
b0422	2477.47	2627.24	2678.29
	791.388	761.812	832.125
b0423	1135.84	1105.48	1099.09
	294.187	227.976	193.936
b0424	1265.55	1376.93	1358.57
b0425	1335.66	1196.83	1225.68
	177.742	147.022	180.231
b0426	2455.93	2454.3	2611.58
	275.475	178.29	154.717
b0427	308.199	327.253	339.894
	129.738	100.047	119.462
b0428	2210.49	2032.45	2176.96
b0429	4470.05	4362.9	4509.62
b0430	4366.7	4184.07	4297.19
b0431	5324.96	4811.78	4959.02
b0432	6139.19	5711.84	5944.27
	34.3681	47.8994	42.9855
b0433	423.715	410.806	426.994
	431.756	349.684	372.763
b0434	2370.49	2149.43	2282.33
	118.846	93.2526	118.043
b0435	1633.59	2036.28	2139.86
	3531.51	3071.64	3128.81
b0436	3325.09	3092.66	3414.08
	2691.47	2436.08	2201.05
b0437	1994.22	2047.19	2012.14
	2677.54	2045.81	2309.31
b0438	1770.62	1919.57	2114.91
	1721.62	1424.5	1479.12
b0439	1746.62	1921.6	1894.28
	1931.52	1776.77	1686.56
b0440	2592.45	3068.68	3409.39
	1130.53	868.836	935.169
b0441	1067.09	1186.25	1236.1
	45.1729	36.027	37.9676
b0442	918.793	1167.72	1154.76
	84.5776	60.509	56.813
b0443	250.295	291.914	329.186
	140.594	142.358	171.341
b0444	1163.77	1351.04	1348.94
	53.5811	53.7007	40.9769
b0445	340.613	414.908	394.316
	18.3498	14.8874	13.348
b0446	672.071	755.652	761.333
	2.81269	0.619757	2.71226
b0447	602.673	496.605	519.875
b0448	146.799	133.329	159.048
b0449	170.563	180.995	189.336
	31.8043	35.532	35.252
b0450	465.413	461.038	418.128
b0451	1277.96	1563.11	1295.42
	946.907	909.312	944.453
b0452	347.363	312.233	304.737
	35.9232	29.2873	26.7451
b0453	1007.65	842.481	859.367
	169.768	242.539	309.144
b0454	607.667	652.869	513.912
	244.514	206.16	253.822
b0455	1496.87	1913.76	2553.05
	80.5611	105.859	93.6584
b0456	394.148	386.05	459.322
	105.577	75.6022	84.9284
b0457	335.814	346.584	351.503
	189.62	130.541	119.61
b0458	1613.39	1662.3	1641.02
	264.228	176.264	120.42
b0459	495.929	482.374	480.373
	864.528	611.481	665.117
b0460	2267.33	2112.7	2175.33
b0461	2111.64	2239.47	2539.14
	21.1919	21.2521	29.2765
b0462	1953.07	1993.61	2006.16
b0463	2481.87	2397.87	2624.23
	641.47	583.734	603.875
b0464	148.703	114.868	129.009
	80.352	66.2799	59.2631
b0465	747.85	765.426	759.252
	174.64	136.649	128.568
b0466	601.03	668.905	658.533
