Gene Name	Mean_Protein
ilvA	10.817
ppiC	7.764
rep	3.292
gpp	28.837
rhlB	41.154
trxA	375.299
rho	2165.11
hemY	1.869
hemX	5.416
cyaY	52.261
dapF	34.124
yigA	8.241
uvrD	20.437
corA	30.977
pldA	2.796
recQ	1.937
pldB	8.065
yigN	7.744
ubiE	0.356
b3836	297.63
b3838	28.014
fadA	2.905
fadB	2.077
pepQ	49.867
yigZ	5.899
mobB	2.805
mobA	4.406
yihD	32.459
dsbA	8.972
polA	40.704
yihI	95.463
hemN	10.046
glnL	27.489
yihK	89.635
yihQ	0.297
yihX	31.3
yihZ	8.308
yiiD	21.438
fdhD	5.521
frvX	0.372
yiiM	10.19
cpxR	33.164
pfkA	125.932
tpiA	767.928
yiiU	545.308
menG	1.387
hslU	150.698
metJ	96.378
metB	21.535
metL	45.356
katG	16.233
gldA	10.768
frwB	5.587
pflD	2.462
ppc	14.585
argE	12.742
oxyR	79.076
fabR	23.345
trmA	26.233
murI	13.395
murB	18.166
birA	9.329
tufB	2202.788
rpoB	516.058
yjaD	9.851
hemE	40.279
nfi	5.986
yjaG	31.944
hupA	940.878
hydH	1.041
arpA	2.384
pepE	3.964
pgi	168.502
malK	96.891
ubiC	5.586
plsB	41.199
yjbJ	150.506
qor	39.459
dnaB	34.033
alr	8.011
yjbQ	42.617
uvrA	4.904
yjcT	2.208
yjcW	0.486
rpiB	6.254
phnP	4.826
phnN	8.846
phnK	16.648
phnJ	18.514
phnD	4.146
basS	0.741
basR	65.397
adiA	2.804
melR	0.672
yjdG	0.613
yjdI	8.059
yjdJ	99.536
lysU	26.853
cadA	4.161
yjdC	37.026
aspA	20.588
groS	2150.179
yjeA	2.612
yjeQ	19.643
yjeE	16.194
amiB	0.371
mutL	6.625
hfq	1513.053
hflK	67.602
hflC	2.243
purA	309.901
yjeB	33.8
vacB	90.493
yjfH	23.435
aidB	26.165
yjfQ	10.504
fklB	121.387
ytfE	5.519
ytfG	3.156
ytfL	18.674
ytfN	0.617
ytfP	29.45
ppa	397.635
yjgA	52.659
nrdG	1.941
nrdD	5.183
mgtA	15.669
yjgF	1164.627
yjgK	38.652
yjgL	2.163
yjgD	387.707
valS	103.936
holC	31.382
yjgR	12.358
idnO	3.147
yi41	3.516
yjhG	0.948
yjhH	7.966
yjhI	0.185
sgcE	0.732
yjhP	1.357
yjhT	1.673
fimB	3.274
fimE	0.414
fimD	0.387
yjiE	2.078
yjiN	8.578
yjiT	1.883
mcrB	3.296
hsdS	2.123
hsdM	13.165
mrr	4.264
yjiA	26.227
yjiY	134.859
dnaT	15.416
fhuF	21.407
holD	10.181
prfC	33.96
osmY	15.707
yjjU	6.447
yjjV	7.973
yjjI	3.044
deoB	186.799
deoD	375.177
lplA	8.557
smp	6.357
rob	0.273
glcF	1.413
