"id"	"stoichiometry"	"direction"	"catalyzed_by"	
"2.4.1.230-RXN"	{"CPD-16569[CCO-CYTOSOL]":-1,"Pi[CCO-CYTOSOL]":-1,"Glucopyranose[CCO-CYTOSOL]":1,"CPD-448[CCO-CYTOSOL]":1}	"BOTH"	["G6654-MONOMER"]	
"2.4.1.230-RXN-CPD-16569/Pi//ALPHA-GLUCOSE/CPD-448.36."	{"CPD-16569[CCO-CYTOSOL]":-1,"Pi[CCO-CYTOSOL]":-1,"ALPHA-GLUCOSE[CCO-CYTOSOL]":1,"CPD-448[CCO-CYTOSOL]":1}	"BOTH"	["G6654-MONOMER"]	
"2.4.1.230-RXN-CPD-16569/Pi//GLC/CPD-448.26."	{"CPD-16569[CCO-CYTOSOL]":-1,"Pi[CCO-CYTOSOL]":-1,"GLC[CCO-CYTOSOL]":1,"CPD-448[CCO-CYTOSOL]":1}	"BOTH"	["G6654-MONOMER"]	
"2.4.1.78-RXN"	{"CPD-12575[CCO-CYTOSOL]":-1,"CPD-9646[CCO-CYTOSOL]":-1,"CPD-20966[CCO-CYTOSOL]":1,"UDP[CCO-CYTOSOL]":1}	"L2R"	["G7220-MONOMER"]	
"2.5.1.19-RXN"	{"SHIKIMATE-5P[CCO-CYTOSOL]":-1,"PHOSPHO-ENOL-PYRUVATE[CCO-CYTOSOL]":-1,"3-ENOLPYRUVYL-SHIKIMATE-5P[CCO-CYTOSOL]":1,"Pi[CCO-CYTOSOL]":1}	"BOTH"	["AROA-MONOMER"]	
"2.5.1.25-RXN"	{"S-ADENOSYLMETHIONINE[CCO-CYTOSOL]":-1,"Uridine47-in-tRNAPhe[CCO-CYTOSOL]":-1,"3-N-3-carboxypropyl-uridine47-tRNAPhe[CCO-CYTOSOL]":1,"5-METHYLTHIOADENOSINE[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"L2R"	["G7349-MONOMER"]	
"2.5.1.64-RXN"	{"ISOCHORISMATE[CCO-CYTOSOL]":-1,"2-KETOGLUTARATE[CCO-CYTOSOL]":-1,"PROTON[CCO-CYTOSOL]":-1,"CPD-9924[CCO-CYTOSOL]":1,"CARBON-DIOXIDE[CCO-CYTOSOL]":1}	"L2R"	["CPLX0-7525"]	
"2.6.1.57-RXN"	{"Aromatic-Amino-Acids[CCO-CYTOSOL]":-1,"2-KETOGLUTARATE[CCO-CYTOSOL]":-1,"Aromatic-Oxoacids[CCO-CYTOSOL]":1,"GLT[CCO-CYTOSOL]":1}	"BOTH"	["TYRB-DIMER"]	
"2.6.1.82-RXN"	{"PUTRESCINE[CCO-CYTOSOL]":-1,"2-KETOGLUTARATE[CCO-CYTOSOL]":-1,"GLT[CCO-CYTOSOL]":1,"CPD-6124[CCO-CYTOSOL]":1,"WATER[CCO-CYTOSOL]":1}	"BOTH"	["CPLX0-8159"]	
"2.7.1.121-RXN"	{"DIHYDROXYACETONE[CCO-CYTOSOL]":-1,"PHOSPHO-ENOL-PYRUVATE[CCO-CYTOSOL]":-1,"DIHYDROXY-ACETONE-PHOSPHATE[CCO-CYTOSOL]":1,"PYRUVATE[CCO-CYTOSOL]":1}	"L2R"	["CPLX0-2081"]	
"2.7.1.148-RXN"	{"4-CYTIDINE-5-DIPHOSPHO-2-C[CCO-CYTOSOL]":-1,"ATP[CCO-CYTOSOL]":-1,"2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET[CCO-CYTOSOL]":1,"ADP[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"L2R"	["CPLX0-3841"]	
"2.7.10.1-RXN"	{"ATP[CCO-CYTOSOL]":-1,"Protein-Tyrosines[CCO-CYTOSOL]":-1,"ADP[CCO-CYTOSOL]":1,"Protein-tyrosine-phosphates[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"L2R"	["G7105-MONOMER", "EG11826-MONOMER"]	
"2.7.13.2-RXN"	{"Protein-Histidines[CCO-CYTOSOL]":-1,"ATP[CCO-CYTOSOL]":-1,"Protein-tauphospho-L-histidines[CCO-CYTOSOL]":1,"ADP[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"L2R"	["CPLX0-8270"]	
"2.7.7.1-RXN"	{"NICOTINAMIDE_NUCLEOTIDE[CCO-CYTOSOL]":-1,"ATP[CCO-CYTOSOL]":-1,"PROTON[CCO-CYTOSOL]":-1,"NAD[CCO-CYTOSOL]":1,"PPI[CCO-CYTOSOL]":1}	"L2R"	["CPLX0-7975"]	
"2.7.7.13-RXN"	{"MANNOSE-1P[CCO-CYTOSOL]":-1,"GTP[CCO-CYTOSOL]":-1,"PROTON[CCO-CYTOSOL]":-1,"GDP-MANNOSE[CCO-CYTOSOL]":1,"PPI[CCO-CYTOSOL]":1}	"L2R"	["MANNPGUANYLTRANGDP-MONOMER"]	
"2.7.7.60-RXN"	{"2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE[CCO-CYTOSOL]":-1,"CTP[CCO-CYTOSOL]":-1,"PROTON[CCO-CYTOSOL]":-1,"4-CYTIDINE-5-DIPHOSPHO-2-C[CCO-CYTOSOL]":1,"PPI[CCO-CYTOSOL]":1}	"L2R"	["CPLX0-234"]	
"2.7.8.25-RXN"	{"DEPHOSPHO-COA[CCO-CYTOSOL]":-1,"ATP[CCO-CYTOSOL]":-1,"2-5-TRIPHOSPHORIBOSYL-3-DEPHOSPHO-[CCO-CYTOSOL]":1,"ADENINE[CCO-CYTOSOL]":1}	"L2R"	["G6339-MONOMER"]	
"2.7.9.3-RXN"	{"SE-2[CCO-CYTOSOL]":-1,"ATP[CCO-CYTOSOL]":-1,"WATER[CCO-CYTOSOL]":-1,"SEPO3[CCO-CYTOSOL]":1,"AMP[CCO-CYTOSOL]":1,"Pi[CCO-CYTOSOL]":1}	"L2R"	["CPLX0-7957"]	
"2.8.1.6-RXN"	{"S-ADENOSYLMETHIONINE[CCO-CYTOSOL]":-2,"Sulfurated-Sulfur-Acceptors[CCO-CYTOSOL]":-1,"DETHIOBIOTIN[CCO-CYTOSOL]":-1,"Reduced-2Fe-2S-Ferredoxins[CCO-CYTOSOL]":-2,"Unsulfurated-Sulfur-Acceptors[CCO-CYTOSOL]":1,"BIOTIN[CCO-CYTOSOL]":1,"CH33ADO[CCO-CYTOSOL]":2,"MET[CCO-CYTOSOL]":2,"Oxidized-2Fe-2S-Ferredoxins[CCO-CYTOSOL]":2}	"L2R"	["BIOTIN-SYN-CPLX"]	
"2.9.1.1-RXN"	{"SEPO3[CCO-CYTOSOL]":-1,"L-seryl-SEC-tRNAs[CCO-CYTOSOL]":-1,"Charged-SEC-tRNAs[CCO-CYTOSOL]":1,"Pi[CCO-CYTOSOL]":1}	"L2R"	["CPLX0-1141"]	
"2OXOGLUTARATEDEH-RXN"	{"2-KETOGLUTARATE[CCO-CYTOSOL]":-1,"CO-A[CCO-CYTOSOL]":-1,"NAD[CCO-CYTOSOL]":-1,"SUC-COA[CCO-CYTOSOL]":1,"CARBON-DIOXIDE[CCO-CYTOSOL]":1,"NADH[CCO-CYTOSOL]":1}	"L2R"	["2OXOGLUTARATEDEH-CPLX"]	
"2PGADEHYDRAT-RXN"	{"2-PG[CCO-CYTOSOL]":-1,"PHOSPHO-ENOL-PYRUVATE[CCO-CYTOSOL]":1,"WATER[CCO-CYTOSOL]":1}	"BOTH"	["ENOLASE-CPLX"]	
"2TRANSKETO-RXN"	{"ERYTHROSE-4P[CCO-CYTOSOL]":-1,"XYLULOSE-5-PHOSPHATE[CCO-CYTOSOL]":-1,"FRUCTOSE-6P[CCO-CYTOSOL]":1,"GAP[CCO-CYTOSOL]":1}	"BOTH"	["TRANSKETOI-CPLX", "CPLX0-1261"]	
"3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN-CPD-12996/2-KETO-ISOVALERATE/WATER//2-DEHYDROPANTOATE/CPD-1301.63."	{"CPD-12996[CCO-CYTOSOL]":-1,"2-KETO-ISOVALERATE[CCO-CYTOSOL]":-1,"WATER[CCO-CYTOSOL]":-1,"2-DEHYDROPANTOATE[CCO-CYTOSOL]":1,"CPD-1301[CCO-CYTOSOL]":1}	"BOTH"	["3-METHYL-2-OXOBUT-OHCH3XFER-CPLX"]	
"3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN-METHYLENE-THF/2-KETO-ISOVALERATE/WATER//2-DEHYDROPANTOATE/THF.62."	{"METHYLENE-THF[CCO-CYTOSOL]":-1,"2-KETO-ISOVALERATE[CCO-CYTOSOL]":-1,"WATER[CCO-CYTOSOL]":-1,"2-DEHYDROPANTOATE[CCO-CYTOSOL]":1,"THF[CCO-CYTOSOL]":1}	"BOTH"	["3-METHYL-2-OXOBUT-OHCH3XFER-CPLX"]	
"3-DEHYDROQUINATE-DEHYDRATASE-RXN"	{"DEHYDROQUINATE[CCO-CYTOSOL]":-1,"3-DEHYDRO-SHIKIMATE[CCO-CYTOSOL]":1,"WATER[CCO-CYTOSOL]":1}	"BOTH"	["AROD-CPLX"]	
"3-DEHYDROQUINATE-SYNTHASE-RXN"	{"3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P[CCO-CYTOSOL]":-1,"DEHYDROQUINATE[CCO-CYTOSOL]":1,"Pi[CCO-CYTOSOL]":1}	"L2R"	["AROB-MONOMER"]	
"3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN"	{"CPD-650[CCO-CYTOSOL]":-1,"CROTONYL-COA[CCO-CYTOSOL]":1,"WATER[CCO-CYTOSOL]":1}	"BOTH"	["CPLX0-8538"]	
"3-ISOPROPYLMALDEHYDROG-RXN"	{"2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE[CCO-CYTOSOL]":-1,"NAD[CCO-CYTOSOL]":-1,"CPD-7100[CCO-CYTOSOL]":1,"NADH[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"L2R"	["G6986-MONOMER", "3-ISOPROPYLMALDEHYDROG-CPLX"]	
"3-ISOPROPYLMALISOM-RXN"	{"CPD-9451[CCO-CYTOSOL]":-1,"WATER[CCO-CYTOSOL]":-1,"3-CARBOXY-3-HYDROXY-ISOCAPROATE[CCO-CYTOSOL]":1}	"BOTH"	["3-ISOPROPYLMALISOM-CPLX"]	
"3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN"	{"3-OCTAPRENYL-4-HYDROXYBENZOATE[CCO-CYTOSOL]":-1,"PROTON[CCO-CYTOSOL]":-1,"2-OCTAPRENYLPHENOL[CCO-CYTOSOL]":1,"CARBON-DIOXIDE[CCO-CYTOSOL]":1}	"L2R"	["CPLX0-301"]	
"3-PHOSPHOGLYCERATE-PHOSPHATASE-RXN"	{"G3P[CCO-PERI-BAC]":-1,"WATER[CCO-PERI-BAC]":-1,"GLYCERATE[CCO-PERI-BAC]":1,"Pi[CCO-PERI-BAC]":1}	"L2R"	["ALKAPHOSPHA-CPLX"]	
"3.1.3.68-RXN[CCO-CYTOSOL]-2-DEOXY-D-GLUCOSE-6-PHOSPHATE/WATER//2-DEOXY-D-GLUCOSE/Pi.71."	{"2-DEOXY-D-GLUCOSE-6-PHOSPHATE[CCO-CYTOSOL]":-1,"WATER[CCO-CYTOSOL]":-1,"2-DEOXY-D-GLUCOSE[CCO-CYTOSOL]":1,"Pi[CCO-CYTOSOL]":1}	"L2R"	["G6932-MONOMER"]	
