"geneId"	"name"	"translationEfficiency"
"EG11597"	"moaD"	1.09019483648
"EG11598"	"moaE"	0.85015152912
"G6403"	"ybhL"	1.9809758658
"G6408"	"ybhQ"	1.16690453573
"G6410"	"ybhS"	0.702636562194
"G6411"	"ybhF"	0.480386666036
"G6412"	"ybhG"	1.03264534512
"EG12406"	"ybiH"	0.652985230756
"EG11235"	"rhlE"	1.63246307689
"EG11357"	"dinG"	0.58209891013
"EG11580"	"ybiB"	2.18113371783
"EG11581"	"ybiC"	2.37358946289
"G6414"	"fiu"	0.751533413965
"G6416"	"rlmF"	1.68526916311
"EG10389"	"glnQ"	1.39495540688
"EG10388"	"glnP"	1.20561537164
"EG10386"	"glnH"	2.6760894263
"EG11415"	"dps"	3.99523858291
"EG12134"	"rhtA"	1.76591190624
"EG12117"	"ompX"	4.49838030567
"G6418"	"ybiP"	1.34877057334
"G6420"	"mntR"	2.17070614246
"G6421"	"ybiR"	0.708653155061
"G6422"	"ybiS"	2.52322271149
"G6423"	"ybiT"	1.83700706091
"G6424"	"ybiU"	2.59699984262
"G6425"	"ybiV"	2.72743219089
"EG10154"	"moeB"	0.767082895407
"EG10153"	"moeA"	1.88868140959
"EG12407"	"iaaA"	0.557358377927
"G6429"	"gsiA"	0.794529649927
"G6430"	"gsiB"	1.17153030009
"G6431"	"gsiC"	0.492641991948
"G6433"	"yliE"	1.0276774609
"G6434"	"yliF"	1.6723911563
"G6435"	"rimO"	2.91161392858
"EG10203"	"dacC"	2.19243587652
"EG10223"	"deoR"	1.27056028466
"G6439"	"ybjG"	1.77818847816
"G6440"	"mdfA"	1.29384405507
"G6442"	"ybjI"	2.11900500984
"G6443"	"ybjJ"	1.23037187517
"G6445"	"ybjL"	1.37495660767
"EG10417"	"grxA"	2.95500365234
"EG12842"	"ybjC"	0.20107973162
"EG11261"	"nfsA"	2.32903021275
"EG10852"	"rimK"	0.380634989803
"G6447"	"ybjN"	1.43264105468
"EG11629"	"potF"	2.05339451158
"EG11630"	"potG"	0.954693487679
"G6448"	"ybjO"	0.441993270377
"EG11628"	"artJ"	3.25782848823
