"left"	"right"	"id"	"rho"	"name"
3553817	3553842	"TERM0881"	"0"	"TERM0881"
3069453	3069472	"TERM0902"	"0"	"TERM0902"
1942297	1942327	"TERM0921"	"0"	"TERM0921"
1942243	1942272	"TERM0923"	"0"	"TERM0923"
1946686	1946717	"TERM0924"	"0"	"TERM0924"
9199	9226	"TERM0941"	"0"	"TERM0941"
602600	602632	"TERM0961"	"0"	"TERM0961"
899918	899948	"TERM0981"	"1"	"TERM0981"
898871	898888	"TERM0982"	"1"	"TERM0982"
925385	925409	"TERM1"	"0"	"TERM1"
127590	127619	"TERM101"	"0"	"TERM101"
1566928	1566954	"TERM102"	"0"	"TERM102"
3557776	3557853	"TERM121"	"0"	"TERM121"
884133	884161	"TERM141"	"0"	"TERM141"
3267981	3268014	"TERM161"	"0"	"TERM161"
4198605	4198624	"TERM162"	"0"	"TERM162"
460954	460966	"TERM163"	"0"	"TERM163"
460983	461002	"TERM164"	"0"	"TERM164"
3954990	3955008	"TERM165"	"0"	"TERM165"
3954906	3954932	"TERM167"	"0"	"TERM167"
1344966	1344992	"TERM168"	"0"	"TERM168"
473487	473525	"TERM169"	"0"	"TERM169"
4336233	4336260	"TERM181"	"0"	"TERM181"
1332869	1332898	"TERM2"	"0"	"TERM2"
1085294	1085318	"TERM201"	"0"	"TERM201"
426980	427010	"TERM202"	"0"	"TERM202"
3752929	3752964	"TERM21"	"0"	"TERM21"
709385	709403	"TERM3"	"0"	"TERM3"
1260118	1260132	"TERM4"	"0"	"TERM4"
1997565	1997595	"TERM42"	"0"	"TERM42"
3209064	3209094	"TERM43"	"0"	"TERM43"
2871256	2871306	"TERM44"	"0"	"TERM44"
4275950	4275980	"TERM45"	"0"	"TERM45"
2004135	2004189	"TERM46"	"0"	"TERM46"
3089125	3089145	"TERM47"	"0"	"TERM47"
3089111	3089134	"TERM48"	"0"	"TERM48"
1956471	1956497	"TERM49"	"0"	"TERM49"
3597910	3597930	"TERM5"	"0"	"TERM5"
1036831	1036857	"TERM50"	"0"	"TERM50"
430320	430346	"TERM51"	"0"	"TERM51"
2388027	2388045	"TERM52"	"0"	"TERM52"
2426052	2426070	"TERM53"	"0"	"TERM53"
3638593	3638614	"TERM54"	"0"	"TERM54"
3737553	3737593	"TERM55"	"0"	"TERM55"
3737618	3737643	"TERM56"	"0"	"TERM56"
2852326	2852343	"TERM57"	"0"	"TERM57"
457955	457979	"TERM58"	"0"	"TERM58"
3322964	3322991	"TERM59"	"0"	"TERM59"
4118391	4118408	"TERM60"	"0"	"TERM60"
496222	496253	"TERM61"	"0"	"TERM61"
1909676	1909703	"TERM62"	"0"	"TERM62"
1819889	1819910	"TERM63"	"0"	"TERM63"
4343654	4343673	"TERM64"	"0"	"TERM64"
950430	950489	"TERM65"	"0"	"TERM65"
4364867	4364887	"TERM66"	"0"	"TERM66"
65800	65821	"TERM68"	"0"	"TERM68"
4376989	4377010	"TERM69"	"0"	"TERM69"
1080017	1080061	"TERM7"	"0"	"TERM7"
3913531	3913553	"TERM70"	"0"	"TERM70"
3909833	3909853	"TERM71"	"0"	"TERM71"
3212965	3212984	"TERM72"	"0"	"TERM72"
709341	709357	"TERM73"	"0"	"TERM73"
2520720	2520742	"TERM8"	"0"	"TERM8"
4375806	4375823	"TERM81"	"0"	"TERM81"
4187622	4187636	"TERM82"	"0"	"TERM82"
3437603	3437617	"TERM84"	"0"	"TERM84"
3809232	3809248	"TERM85"	"0"	"TERM85"
3307021	3307043	"TERM86"	"0"	"TERM86"
3446289	3446307	"TERM87"	"0"	"TERM87"
4619658	4619682	"TERM88"	"0"	"TERM88"
4637561	4637595	"TERM89"	"0"	"TERM89"
3720314	3720333	"TERMGLYS"	"0"	"TERMGLYS"
3384240	3384241	"TERM_WC-0"	"0"	"TERM_WC_aaeB"
3384240	3384241	"TERM_WC-1"	"0"	"TERM_WC_aaeB"
925948	925949	"TERM_WC-10"	"0"	"TERM_WC_aat"
451291	451292	"TERM_WC-100"	"0"	"TERM_WC_ampG"
87851	85540	"TERM_WC-1000"	"0"	"TERM_WC_ilvIH"
87851	85453	"TERM_WC-1001"	"0"	"TERM_WC_ilvIH"
87851	85420	"TERM_WC-1002"	"0"	"TERM_WC_ilvIH"
87851	85600	"TERM_WC-1003"	"0"	"TERM_WC_ilvIH"
54752	54753	"TERM_WC-1004"	"0"	"TERM_WC_imp"
54752	54753	"TERM_WC-1005"	"0"	"TERM_WC_imp"
52424	52425	"TERM_WC-1006"	"0"	"TERM_WC_imp-surA-pdxA"
2346841	2346842	"TERM_WC-1007"	"0"	"TERM_WC_inaA"
1798117	1798118	"TERM_WC-1008"	"0"	"TERM_WC_infC"
19808	19809	"TERM_WC-1009"	"0"	"TERM_WC_insA-1B-1-insAB-1"
451291	451292	"TERM_WC-101"	"0"	"TERM_WC_ampG"
276977	276978	"TERM_WC-1010"	"0"	"TERM_WC_insA-2B-2-afuBC-insAB-2"
289870	289871	"TERM_WC-1011"	"0"	"TERM_WC_insA-3B-3-insAB-3"
1049756	1049056	"TERM_WC-1012"	"0"	"TERM_WC_insA-4B-4-insAB-4"
1976539	1976540	"TERM_WC-1013"	"0"	"TERM_WC_insA-5B-5-insAB-5"
4516828	4516465	"TERM_WC-1014"	"0"	"TERM_WC_insA-7"
4516828	4516402	"TERM_WC-1015"	"0"	"TERM_WC_insA-7"
381806	380530	"TERM_WC-1016"	"0"	"TERM_WC_insC-1D-1-insCD-1"
1465942	1465943	"TERM_WC-1017"	"0"	"TERM_WC_insC-2D-2-insCD-2"
2066973	2066974	"TERM_WC-1018"	"0"	"TERM_WC_insC-3D-3-insCD-3"
