gene symbol	hour_6_mean_protein_count
yabB	15.5
yabI	0.5
yacC	4.5
yacF	81.5
yacG	54.5
yacH	0.5
yacL	1.0
yadB	3.5
yadD	1.0
yadF	226.0
yadG	44.0
yadI	4.5
yadQ	0.5
yadR	18.0
yadS	2.5
yadT	6.0
yaeB	4.0
yaeH	77.0
yaeL	77.5
yaeP	12.0
yaeQ	9.5
yaeR	13.0
yaeT	627.5
yafC	10.5
yafD	5.5
yafE	0.5
yafJ	8.0
yafK	10.0
yafL	0.5
yafM	1.0
yafS	2.0
yafV	3.5
yagR	1.0
yagS	0.5
yagT	1.0
yagU	42.5
yagX	2.0
yagY	0.5
yahD	1.0
yahE	1.0
yahF	3.0
yahG	4.5
yahI	0.5
yahJ	5.0
yahK	15.5
yahN	1.0
yahO	20.5
yaiA	0.5
yaiB	9.0
yaiE	2.0
yaiI	2.0
yaiL	51.5
yaiV	1.5
yaiW	29.0
yajC	389.0
yajD	40.5
yajF	24.5
yajG	141.0
yajO	4.5
yajQ	272.0
yajR	0.5
ybaB	228.5
ybaK	158.0
ybaL	5.0
ybaQ	14.0
ybaS	0.5
ybaT	0.5
ybaV	0.5
ybaW	0.5
ybaX	65.5
ybaY	2.0
ybbA	0.5
ybbB	2.5
ybbF	0.5
ybbK	3.5
ybbL	3.5
ybbN	183.5
ybbO	20.0
ybbP	4.5
ybcH	1.5
ybcJ	21.0
ybcK	3.0
ybcU	158.0
ybdB	9.0
ybdF	2.5
ybdG	1.5
ybdH	38.5
ybdK	3.0
ybdL	28.5
ybdQ	30.5
ybdZ	10.0
ybeA	7.0
ybeB	86.5
ybeD	92.0
ybeL	26.5
ybeM	11.0
ybeR	1.5
ybeX	11.0
ybeY	31.0
ybeZ	182.0
ybfE	4.0
ybfF	83.0
ybfGH	4.0
ybfM	0.5
ybfO	1.0
ybgC	8.0
ybgE	1.0
ybgF	174.0
ybgH	0.5
ybgI	163.0
ybgJ	21.0
ybgK	40.5
ybgL	38.0
ybgO	1.0
ybgQ	2.0
ybgR	0.5
ybgS	1.0
ybhA	30.0
ybhB	0.5
ybhC	100.0
ybhD	1.0
ybhE	148.0
ybhF	3.0
ybhG	22.5
ybhH	3.0
ybhJ	2.0
ybhK	6.0
ybhL	0.5
ybhR	2.0
ybiB	104.5
ybiC	349.5
ybiH	2.0
ybiI	1.0
ybiJ	7.0
ybiK	29.0
ybiL	8.5
ybiN	24.0
ybiO	1.0
ybiP	0.5
ybiS	143.5
ybiT	178.5
ybiU	2.0
ybiV	25.0
ybiX	2.5
ybiY	0.5
ybjD	5.0
ybjH	1.0
ybjI	4.5
ybjJ	1.0
ybjL	2.5
ybjN	11.0
ybjP	45.5
ybjQ	16.0
ybjR	1.0
ybjS	15.5
ybjT	1.5
ybjX	125.0
ycaD	1.5
ycaI	1.0
ycaJ	49.5
ycaK	5.0
ycaL	3.0
ycaN	2.5
ycaO	40.5
ycaQ	12.0
ycaR	66.5
ycbB	4.0
ycbC	2.0
ycbF	1.5
ycbG	15.0
ycbJ	1.0
ycbL	75.5
ycbR	1.0
ycbS	2.0
ycbT	1.0
ycbU	1.0
ycbX	173.0
ycbZ	53.0
yccC	3.0
yccF	3.0
yccJ	4.0
yccK	2.5
yccM	2.0
yccR	3.0
yccS	2.0
yccU	51.5
yccW	89.0
yccX	2.0
ycdB	143.0
ycdC	3.0
ycdG	1.5
ycdI	2.0
ycdK	0.5
ycdO	794.5
ycdT	0.5
ycdW	176.0
ycdX	74.5
ycdY	79.0
yceA	68.0
yceB	23.5
yceD	112.5
yceF	26.5
yceG	6.5
yceH	79.5
yceI	40.0
ycfC	53.5
ycfD	94.0
ycfF	99.5
ycfH	152.5
ycfL	0.5
ycfM	67.0
ycfP	74.5
ycfQ	4.5
ycfR	1.0
ycfS	3.0
ycfU	37.5
ycfW	35.0
ycgB	2.0
ycgE	3.5
ycgF	1.5
ycgK	67.5
ycgL	60.0
ycgM	54.0
ycgN	24.0
ycgO	8.0
ycgV	6.0
ychA	0.5
ychE	1.0
ychF	296.0
ychJ	1.5
ychK	7.5
ychN	47.0
ychP	0.5
yciD	0.5
yciE	1.0
yciH	4.5
yciI	44.5
yciK	76.0
yciL	17.5
yciM	18.5
yciN	15.0
yciO	84.5
yciR	5.0
yciS	29.5
yciT	111.0
yciV	1.0
yciW	25.0
ycjC	0.5
ycjF	26.0
ycjG	21.5
ycjI	2.5
ycjJ	0.5
ycjK	134.0
ycjN	5.0
ycjR	0.5
ycjV	0.5
ycjW	9.5
ycjX	70.5
ycjY	12.0
ydaA	45.0
ydaL	1.5
ydaM	0.5
ydaO	58.5
ydbD	4.0
ydbH	9.5
ydbK	216.5
ydbL	2.0
ydcA	0.5
ydcF	10.0
ydcI	37.0
ydcL	120.0
ydcM	1.0
ydcN	0.5
ydcP	109.5
ydcR	1.5
ydcT	1.0
ydcU	2.0
ydcW	3.0
yddA	3.5
yddB	35.0
yddK	1.0
yddM	1.5
yddP	1.5
yddS	1.5
yddV	5.0
yddW	2.0
ydeE	1.0
ydeI	1.0
ydeJ	0.5
ydeP	3.5
ydeQ	2.0
ydfE	3.0
ydfG	115.5
ydfH	53.0
ydfI	4.0
ydfJ	2.0
ydfZ	2.5
ydgA	279.5
ydgB	4.0
ydgC	1.0
ydgH	288.5
ydgJ	128.0
ydgT	1.5
ydhD	122.5
ydhF	48.0
ydhJ	15.5
ydhL	1.5
ydhQ	5.5
ydhR	31.0
ydhS	1.0
ydhT	2.0
ydhV	2.0
ydhX	0.5
ydhZ	2.0
ydiA	16.0
ydiB	1.0
ydiD	1.5
ydiF	1.0
ydiH	20.0
ydiI	28.5
ydiJ	430.5
ydiL	3.0
ydiN	1.0
ydiO	1.0
ydiQ	1.0
ydiR	0.5
ydiS	2.0
ydiU	17.5
ydiY	7.5
ydiZ	0.5
ydjA	93.0
ydjC	2.0
ydjF	11.5
ydjG	1.0
ydjH	0.5
ydjL	0.5
ydjN	109.0
ydjQ	11.0
ydjR	0.5
yeaA	117.0
yeaC	21.5
yeaD	241.5
yeaE	2.0
yeaH	1.5
yeaI	0.5
yeaK	26.0
yeaO	2.5
yeaP	11.5
yeaS	1.0
yeaT	0.5
yeaU	3.0
yeaY	26.0
yeaZ	52.0
yebA	0.5
yebC	86.5
yebE	9.5
yebF	35.0
yebG	63.0
yebK	47.0
yebN	1.5
yebO	13.5
yebR	35.0
yebS	0.5
yebT	57.5
yebU	41.5
yebV	1.0
yebY	52.0
yecA	27.5
yecD	3.0
yecG	0.5
yecH	1.5
yecI	1.5
yecJ	66.5
yecM	16.0
yecN	0.5
yecO	73.0
yecP	38.0
yecR	23.0
yedV	1.0
yedX	1.5
yedY	1.5
yeeA	1.0
yeeD	18.0
yeeF	7.5
yeeI	36.0
yeeJ	3.0
yeeN	12.0
yeeO	6.0
yeeR	13.0
yeeS	0.5
yeeU	2.5
yeeX	195.0
yeeZ	21.5
yegB	0.5
yegD	11.0
yegE	2.5
yegH	6.0
yegI	1.5
yegM	7.0
yegN	2.5
yegO	0.5
yegP	1.0
yegQ	115.5
yegS	2.0
yegU	12.0
yegV	2.0
yegW	2.0
yehI	5.0
yehL	1.5
yehM	1.0
yehQ	1.0
yehS	9.5
yehT	2.5
yehU	2.0
yehX	1.5
yeiC	1.0
yeiE	11.5
yeiG	20.0
yeiJ	1.0
yeiM	4.0
yeiP	43.0
yeiQ	3.5
yeiR	12.5
yeiU	10.0
yejA	4.5
yejB	2.0
yejF	3.5
yejG	31.0
yejH	8.0
yejK	146.5
yejL	6.5
yejM	4.0
yejO	2.0
yfaA	1.0
yfaD	1.0
yfaL	1.0
yfaO	1.0
yfaS	2.5
yfaU	4.5
yfaY	96.5
yfbG	1.5
yfbH	1.0
yfbQ	42.5
yfbR	56.5
yfbT	102.5
yfbU	231.0
yfcA	0.5
yfcB	53.5
yfcC	0.5
yfcD	92.0
yfcE	82.5
yfcF	45.0
yfcG	0.5
yfcH	21.5
yfcI	3.0
yfcL	45.0
yfcM	23.5
yfcN	21.5
yfcO	0.5
yfcS	3.0
yfcTU	0.5
yfcZ	28.0
yfdC	1.5
yfdE	6.0
yfdW	0.5
yfdZ	30.0
yfeA	1.5
yfeC	2.0
yfeD	0.5
yfeH	0.5
yfeK	4.0
yfeS	4.5
yfeT	1.0
yfeX	120.5
yfeY	79.0
yffB	22.5
yffH	28.5
yffI	3.0
yfgA	88.0
yfgB	67.5
yfgC	124.0
yfgD	85.0
yfgG	2.0
yfgJ	25.0
yfgL	279.5
yfgM	213.0
yfhA	19.0
yfhB	0.5
yfhG	4.0
yfhH	5.0
yfhJ	22.0
yfhK	18.0
yfhM	32.5
yfhQ	39.0
yfiA	111.5
yfiC	29.5
yfiD	16.5
yfiF	166.5
yfiH	7.5
yfiM	1.0
yfiO	171.5
yfiP	7.0
yfiQ	1.0
yfjD	13.0
yfjF	30.5
yfjG	12.0
ygaD	28.0
ygaE	0.5
ygaF	0.5
ygaG	258.5
ygaP	2.0
ygaU	3.0
ygaV	1.0
ygaXY	1.5
ygbI	0.5
ygbK	3.0
ygbM	1.0
ygcF	24.0
ygcG	2.5
ygcM	18.0
ygcN	1.0
ygcO	0.5
ygcQ	0.5
ygcR	0.5
ygcS	0.5
ygdE	32.0
ygdH	139.0
ygdK	55.5
ygdL	3.0
ygdP	9.5
ygdQ	1.0
ygdR	8.0
ygeA	1.0
ygeR	1.0
ygeW	2.0
ygfA	1.5
ygfB	71.0
ygfE	33.0
ygfH	1.0
ygfJ	4.0
ygfK	3.0
ygfM	1.5
ygfO	1.0
ygfT	1.0
ygfU	1.0
ygfY	0.5
ygfZ	191.0
yggA	1.0
yggB	44.5
yggE	40.5
yggG	73.0
yggJ	72.5
yggL	7.0
yggM	1.0
yggN	43.5
yggP	1.0
yggS	126.5
yggT	2.0
yggU	7.0
yggV	80.0
yggW	3.5
yggX	61.0
yghJ	52.0
yghO	1.0
yghU	27.0
yghZ	5.0
ygiB	25.0
ygiC	87.5
ygiD	2.5
ygiF	95.0
ygiM	76.5
ygiN	48.5
ygiP	1.0
ygiQ	41.5
ygiS	5.5
ygiT	7.0
ygiW	13.0
ygiX	9.0
ygiY	7.5
ygjD	57.0
ygjF	25.5
ygjG	1.0
ygjK	0.5
ygjM	1.5
ygjO	36.0
ygjQ	1.5
ygjR	20.5
ygjU	14.0
yhaB	0.5
yhaC	2.5
yhaJ	37.0
yhaK	0.5
yhaL	0.5
yhbC	11.5
yhbE	4.0
yhbG	163.0
yhbH	11.0
yhbJ	124.0
yhbL	119.0
yhbN	25.5
yhbO	1.0
yhbS	42.5
yhbT	10.5
yhbU	0.5
yhbW	41.5
yhbY	41.0
yhcB	222.5
yhcC	0.5
yhcH	1.0
yhcM	52.0
yhcN	1.0
yhcQ	1.5
yhcS	2.0
yhdA	6.5
yhdE	47.0
yhdG	4.0
yhdH	25.5
yhdJ	0.5
yhdN	1.0
yhdP	28.5
yhdW	10.0
yhdZ	2.5
yheL	15.5
yheM	6.5
yheN	1.0
yheO	34.5
yheR	5.5
yheS	142.0
yheT	2.0
yhfA	6.0
yhfK	4.5
yhfW	6.5
yhgF	325.5
yhgH	1.0
yhgI	103.5
yhgN	0.5
yhhA	2.0
yhhI-2	2.5
yhhK	16.0
yhhM	11.5
yhhW	2.0
yhhX	88.5
yhhZ	0.5
yhiD	1.0
yhiE	0.5
yhiH	3.5
yhiI	16.0
yhiJ	1.0
yhiKL	1.5
yhiN	9.0
yhiO	1.0
yhiQ	29.5
yhiR	44.5
yhiS	0.5
yhiV	0.5
yhjA	1.5
yhjC	3.0
yhjD	2.0
yhjE	46.5
yhjG	1.0
yhjJ	176.0
yhjK	14.0
yhjN	131.5
yhjS	6.5
yhjU	59.0
yhjX	1.5
yiaD	88.5
yiaF	121.5
yiaJ	45.0
yiaO	1.0
yiaT	1.0
yibF	1.5
yibJ	1.0
yibK	16.0
yibL	97.0
yibN	218.5
yibO	300.5
yibP	14.5
yibQ	10.5
yicC	116.0
yicE	1.0
yicH	46.5
yicJ	2.0
yicK	4.0
yicN	7.0
yicO	1.0
yidA	102.5
yidB	11.0
yidC	361.5
yidD	1.5
yidG	4.0
yidJ	5.5
yidK	1.0
yidQ	8.5
yidR	38.0
yieC	0.5
yieE	5.0
yieF	7.5
yieH	39.5
yieK	8.5
yieL	3.5
yieN	4.0
yieP	2.5
yifE	204.0
yifK	0.5
yigA	21.0
yigB	70.5
yigI	12.5
yigL	49.0
yigM	1.0
yigN	5.0
yigP	3.0
yigZ	2.5
yihD	127.5
yihE	27.0
yihF	1.0
yihI	58.5
yihM	1.0
yihN	2.5
yihO	2.5
yihP	2.5
yihR	1.0
yihS	1.0
yihT	0.5
yihW	3.0
yihX	34.5
yiiG	0.5
yiiM	18.5
yiiQ	14.5
yiiS	35.0
yiiT	20.0
yiiU	92.0
yijC	24.0
yijP	187.5
yis1	0.5
yjaG	6.5
yjaH	3.5
yjbB	11.0
yjbC	52.5
yjbD	17.0
yjbG	1.0
yjbI	1.0
yjbL	0.5
yjbN	98.0
yjbR	15.5
yjcD	18.0
yjcE	6.5
yjcO	38.5
yjcP	1.0
yjcS	1.0
yjdA	2.5
yjdB	0.5
yjdC	36.5
yjeA	28.0
yjeB	20.5
yjeE	16.5
yjeF	6.0
yjeI	81.0
yjeK	4.0
yjeP	25.5
yjeQ	81.5
yjeS	1.5
yjfC	2.0
yjfH	53.5
yjfJ	0.5
yjfP	8.0
yjfQ	3.5
yjfR	7.0
yjgA	34.0
yjgB	1.5
yjgD	4.0
yjgF	69.5
yjgI	2.0
yjgJ	4.5
yjgK	2.0
yjgL	0.5
yjgM	18.0
yjgN	4.0
yjgP	7.5
yjgQ	26.0
yjgR	23.0
yjgW	0.5
yjhC	1.5
yjhT	1.0
yjiA	51.0
yjiW	7.0
yjiY	16.0
yjiZ	0.5
yjjA	40.5
yjjG	35.5
yjjK	422.0
yjjN	0.5
yjjQ	1.0
yjjU	25.0
yjjV	14.5
yjjX	2.0
ykfE	33.5
ykgA	2.5
ykgC	2.5
ykgF	1.5
ykgG	3.0
ykgH	1.0
ykgJ	2.0
ylaC	8.5
ylbA	1.5
ylbG	1.0
ylcC	21.5
yleA	298.0
yliA	18.0
yliB	116.0
yliD	0.5
yliE	0.5
yliF	1.5
yliJ	96.5
ymbA	37.0
ymcA	1.0
ymcC	0.5
ymdB	20.5
ymdC	15.5
ymfB	8.5
ymfC	3.0
ynaF	3.0
ynaI	1.0
yncA	2.0
yncB	2.5
yncD	37.0
yncE	256.0
yneB	1.5
yneF	1.0
yneH	22.5
yneI	34.0
yneJ	1.5
yneK	4.0
yneL	0.5
ynfB	19.5
ynfC	3.5
ynfD	21.0
ynfE	3.0
ynfF	1.0
ynfG	0.5
ynfI	10.0
ynfJ	8.0
ynfL	1.0
ynhG	19.5
yniA	7.0
yniB	7.0
yniC	117.5
ynjA	4.5
ynjB	15.0
ynjE	17.5
yoaA	2.5
yoaB	56.5
yoaC	24.0
yoaD	3.0
yoaE	4.5
yoaF	10.0
yobA	16.5
yodA	4.0
yohC	1.0
yohF	1.0
yohI	1.0
yojI	2.5
yojL	4.5
ypdA	4.0
ypdB	25.5
ypdD	2.0
ypdE	0.5
ypdF	1.0
ypdI	0.5
ypeA	24.0
ypfH	15.5
ypfI	3.0
ypfJ	23.0
yphF	1.5
yphG	3.5
yphH	2.0
yqaB	23.5
yqcA	21.5
yqcB	0.5
yqcC	9.0
yqeB	1.0
yqeC	0.5
yqeF	39.0
yqfB	23.0
yqgD	1.0
yqgE	108.0
yqhA	1.0
yqhC	1.0
yqhD	18.0
yqiB	2.5
yqiC	24.0
yqiG	2.5
yqiI	1.0
yqiK	0.5
yqjD	16.5
yqjG	8.5
yqjH	33.0
yqjI	2.5
yraI	5.0
yraL	210.0
yraM	159.0
yraN	1.5
yraO	28.0
yraP	93.0
yraQ	1.0
yrbA	24.5
yrbB	36.0
yrbC	128.5
yrbD	97.0
yrbE	16.0
yrbF	73.0
yrbH	75.5
yrbI	100.5
yrbK	10.0
yrbL	5.0
yrdA	193.5
yrdB	7.0
yrdC	47.5
yrdD	25.5
yrfD	1.5
yrfF	26.5
yrfG	29.0
ysgA	95.5
ytfB	39.5
ytfE	5.0
ytfG	16.0
ytfH	0.5
ytfL	20.0
ytfM	16.0
ytfN	19.5
ytfQ	3.0
ytfR	1.5
zipA	123.5
zntA	43.5
zntB	4.5
zntR	12.0
znuA	63.0
znuB	0.5
znuC	8.0
zur	9.0
zwf	284.0
