# Organism: Escherichia coli K-12 substr. MG1655
# Database: EcoCyc
# Version: 25.1
# Date and time generated: September 10, 2021, 12:55:13
"id"	"common_name"	"synonyms"	"type"	"modified_forms"	"gene_id"	"monomer_ids"	"anticodon"	"coding_segments"
"EG12365_RNA"	"prkB"	["prkB", "yhfF", "b3355", "ECK3343"]	"mRNA"	[]	"EG12365"	["EG12365-MONOMER"]	null	[]
"EG12366_RNA"	"rsmE"	["rsmE", "yggJ", "b2946", "ECK2941"]	"mRNA"	[]	"EG12366"	["EG12366-MONOMER"]	null	[]
"EG12367_RNA"	"cusA"	["cusA", "ybdE", "b0575", "ECK0567"]	"mRNA"	[]	"EG12367"	["YBDE-MONOMER"]	null	[]
"EG12368_RNA"	"znuB"	["znuB", "yebI", "b1859", "ECK1860"]	"mRNA"	[]	"EG12368"	["ZNUB-MONOMER"]	null	[]
"EG12369_RNA"	"ydjE"	["ydjE", "b1769", "ECK1767"]	"mRNA"	[]	"EG12369"	["YDJE-MONOMER"]	null	[]
"EG12370_RNA"	"intE"	["intE", "int(Lambda)", "ycfI", "b1140", "ECK1126"]	"mRNA"	[]	"EG12370"	["EG12370-MONOMER"]	null	[]
"EG12371_RNA"	"nlpI"	["nlpI", "yhbM", "b3163", "ECK3151"]	"mRNA"	[]	"EG12371"	["EG12371-MONOMER"]	null	[]
"EG12372_RNA"	"ygdG"	["ygdG", "xni", "exo", "b2798", "ECK2793"]	"mRNA"	[]	"EG12372"	["EG12372-MONOMER"]	null	[]
"EG12373_RNA"	"ppnN"	["ppnN", "ygdH", "b2795", "ECK2790"]	"mRNA"	[]	"EG12373"	["EG12373-MONOMER"]	null	[]
"EG12374_RNA"	"yhfG"	["yhfG", "ficA", "b3362", "ECK3350"]	"mRNA"	[]	"EG12374"	["EG12374-MONOMER"]	null	[]
"EG12375_RNA"	"ycaI"	["ycaI", "b0913", "ECK0904"]	"mRNA"	[]	"EG12375"	["EG12375-MONOMER"]	null	[]
"EG12376_RNA"	"yfeH"	["yfeH", "b2410", "ECK2404"]	"mRNA"	[]	"EG12376"	["EG12376-MONOMER"]	null	[]
"EG12378_RNA"	"yecD"	["yecD", "b1867", "ECK1868"]	"mRNA"	[]	"EG12378"	["EG12378-MONOMER"]	null	[]
"EG12379_RNA"	"yecE"	["yecE", "b1868", "ECK1869"]	"mRNA"	[]	"EG12379"	["EG12379-MONOMER"]	null	[]
"EG12380_RNA"	"gntT"	["gntT", "gntTalpha", "yhgC", "gntM", "usgA", "b3415", "ECK3402"]	"mRNA"	[]	"EG12380"	["GNTT-MONOMER"]	null	[]
"EG12381_RNA"	"nrdF"	["nrdF", "ygaD", "b2676", "ECK2670"]	"mRNA"	[]	"EG12381"	["NRDF-MONOMER"]	null	[]
"EG12384_RNA"	"ybcF"	["ybcF", "arcC", "b0521", "ECK0514"]	"mRNA"	[]	"EG12384"	["EG12384-MONOMER"]	null	[]
"EG12385_RNA"	"rcsD"	["rcsD", "yojP", "yojQ", "yojN", "b2216", "ECK2209"]	"mRNA"	[]	"EG12385"	["EG12385-MONOMER"]	null	[]
"EG12386_RNA"	"glaR"	["glaR", "ygaE", "gabC", "csiR", "b2664", "ECK2658"]	"mRNA"	[]	"EG12386"	["EG12386-MONOMER"]	null	[]
"EG12387_RNA"	"lhgD"	["lhgD", "ygaF", "lhgO", "b2660", "ECK2654"]	"mRNA"	[]	"EG12387"	["EG12387-MONOMER"]	null	[]
"EG12388_RNA"	"sfmF"	["sfmF", "ybcG", "b0534", "ECK0527"]	"mRNA"	[]	"EG12388"	["EG12388-MONOMER"]	null	[]
"EG12391_RNA"	"ydiE"	["ydiE", "b1705", "ECK1703"]	"mRNA"	[]	"EG12391"	["EG12391-MONOMER"]	null	[]
"EG12392_RNA"	"dauA"	["dauA", "ychM", "b1206", "ECK1194"]	"mRNA"	[]	"EG12392"	["YCHM-MONOMER"]	null	[]
"EG12393_RNA"	"ttdT"	["ttdT", "ygjC", "ygjE", "b3063", "ECK3053"]	"mRNA"	[]	"EG12393"	["YGJE-MONOMER"]	null	[]
"EG12394_RNA"	"msrB"	["msrB", "yeaA", "b1778", "ECK1776"]	"mRNA"	[]	"EG12394"	["EG12394-MONOMER"]	null	[]
"EG12395_RNA"	"ybgE"	["ybgE", "b0735", "ECK0724"]	"mRNA"	[]	"EG12395"	["EG12395-MONOMER"]	null	[]
"EG12396_RNA"	"dgcE"	["dgcE", "yegE", "b2067", "ECK2061"]	"mRNA"	[]	"EG12396"	["EG12396-MONOMER"]	null	[]
"EG12397_RNA"	"ycbF"	["ycbF", "b0944", "ECK0935"]	"mRNA"	[]	"EG12397"	["EG12397-MONOMER"]	null	[]
"EG12399_RNA"	"dhaM"	["dhaM", "ycgC", "dhaH", "ptsD", "b1198", "ECK1186"]	"mRNA"	[]	"EG12399"	["EG12399-MONOMER"]	null	[]
"EG12400_RNA"	"mdtK"	["mdtK", "norE", "norM", "ydhE", "b1663", "ECK1659"]	"mRNA"	[]	"EG12400"	["YDHE-MONOMER"]	null	[]
"EG12401_RNA"	"rlmN"	["rlmN", "yfgB", "b2517", "ECK2513"]	"mRNA"	[]	"EG12401"	["EG12401-MONOMER"]	null	[]
"EG12402_RNA"	"chaB"	["chaB", "b1217", "ECK1211"]	"mRNA"	[]	"EG12402"	["EG12402-MONOMER"]	null	[]
"EG12403_RNA"	"chaC"	["chaC", "b1218", "ECK1212"]	"mRNA"	[]	"EG12403"	["EG12403-MONOMER"]	null	[]
"EG12404_RNA"	"ychN"	["ychN", "b1219", "ECK1213"]	"mRNA"	[]	"EG12404"	["EG12404-MONOMER"]	null	[]
"EG12405_RNA"	"ychO"	["ychO", "ychP", "b1220", "ECK1214"]	"mRNA"	[]	"EG12405"	["EG12405-MONOMER"]	null	[]
"EG12406_RNA"	"cecR"	["cecR", "ybiH", "b0796", "ECK0785"]	"mRNA"	[]	"EG12406"	["EG12406-MONOMER"]	null	[]
"EG12407_RNA"	"iaaA"	["iaaA", "spt", "ybiK", "b0828", "ECK0818"]	"mRNA"	[]	"EG12407"	["EG12407-MONOMER"]	null	[]
"EG12409_RNA"	"aegA"	["aegA", "yffG", "b2468", "ECK2463"]	"mRNA"	[]	"EG12409"	["EG12409-MONOMER"]	null	[]
"EG12410_RNA"	"nudK"	["nudK", "yffH", "b2467", "ECK2462"]	"mRNA"	[]	"EG12410"	["EG12410-MONOMER"]	null	[]
