Object ID	Display Name	Synonyms
G7180_TRANSLATION	yfbN translation	['yfbN translation', 'b2273 translation', 'ECK2267 translation']
EG10703_TRANSLATION	pgk translation	['pgk translation', 'b2926 translation', 'ECK2922 translation']
EG10452_TRANSLATION	hisP translation	['hisP translation', 'b2306 translation', 'ECK2300 translation']
EG30066_TRANSLATION	proK translation	['proK translation', 'proV translation', 'b3545 translation', 'ECK3532 translation']
EG10571_TRANSLATION	mazE translation	['mazE translation', 'chpAI translation', 'chpR translation', 'b2783 translation', 'ECK2777 translation']
G6928_TRANSLATION	ydiY translation	['ydiY translation', 'b1722 translation', 'ECK1720 translation']
EG10702_TRANSLATION	pgi translation	['pgi translation', 'b4025 translation', 'ECK4017 translation']
EG11708_TRANSLATION	glvG translation	['glvG translation', 'yidM translation', 'b3681 translation', 'ECK3673 translation']
EG11431_TRANSLATION	yfeC translation	['yfeC translation', 'b2398 translation', 'ECK2392 translation']
EG30049_TRANSLATION	leuT translation	['leuT translation', 'b3798 translation', 'ECK3791 translation']
G6549_TRANSLATION	ymdA translation	['ymdA translation', 'b1044 translation', 'ECK1030 translation']
EG10688_TRANSLATION	pck translation	['pck translation', 'pckA translation', 'b3403 translation', 'ECK3390 translation']
G6752_TRANSLATION	ydcT translation	['ydcT translation', 'b1441 translation', 'ECK1435 translation']
EG30033_TRANSLATION	gltU translation	['gltU translation', 'tgtC translation', 'b3757 translation', 'ECK3751 translation']
EG12634_TRANSLATION	cas3 translation	['cas3 translation', 'ygcB translation', 'b2761 translation', 'ECK2756 translation']
G0-16640_TRANSLATION	ytiA translation	['ytiA translation', 'b4715 translation', 'ECK4572 translation']
EG10576_TRANSLATION	mdh translation	['mdh translation', 'b3236 translation', 'ECK3225 translation']
EG10016_TRANSLATION	garL translation	['garL translation', 'yhaF translation', 'b3126 translation', 'ECK3114 translation']
G6936_TRANSLATION	cedA translation	['cedA translation', 'ydjP translation', 'b1731 translation', 'ECK1729 translation']
EG30015_TRANSLATION	argV translation	['argV translation', 'argValpha translation', 'b2694 translation', 'ECK2689 translation']
EG12119_TRANSLATION	ychJ translation	['ychJ translation', 'b1233 translation', 'ECK1228 translation']
EG10374_TRANSLATION	ggt translation	['ggt translation', 'b3447 translation', 'ECK3431 translation']
EG12347_TRANSLATION	tcyN translation	['tcyN translation', 'yecC translation', 'b1917 translation', 'ECK1916 translation']
EG30105_TRANSLATION	trpT translation	['trpT translation', 'su7 translation', 'su8 translation', 'su9 translation', 'supU translation', 'supV translation', 'b3761 translation', 'ECK3755 translation']
G7430_TRANSLATION	casA translation	['casA translation', 'ygcL translation', 'cse1 translation', 'b2760 translation', 'ECK2755 translation']
EG11662_TRANSLATION	yedK translation	['yedK translation', 'yedG translation', 'b1931 translation', 'ECK1930 translation']
EG10368_TRANSLATION	epd translation	['epd translation', 'gapB translation', 'gap2 translation', 'b2927 translation', 'ECK2923 translation']
G6721_TRANSLATION	paaY translation	['paaY translation', 'ydbZ translation', 'b1400 translation', 'ECK1397 translation']
G6444_TRANSLATION	rcdA translation	['rcdA translation', 'ybjK translation', 'b0846 translation', 'ECK0836 translation']
EG30062_TRANSLATION	metZ translation	['metZ translation', 'metZalpha translation', 'b2814 translation', 'ECK2810 translation']
G7604_TRANSLATION	ygjP translation	['ygjP translation', 'b3085 translation', 'ECK3075 translation']
EG10367_TRANSLATION	gapA translation	['gapA translation', 'gad translation', 'gap1 translation', 'b1779 translation', 'ECK1777 translation']
EG10295_TRANSLATION	fepC translation	['fepC translation', 'b0588 translation', 'ECK0581 translation']
EG30046_TRANSLATION	ileX translation	['ileX translation', 'b3069 translation', 'ECK3059 translation']
G7427_TRANSLATION	casD translation	['casD translation', 'ygcI translation', 'cas5e translation', 'b2757 translation', 'ECK2752 translation']
G7152_TRANSLATION	yfaP translation	['yfaP translation', 'b2225 translation', 'ECK2218 translation']
EG10283_TRANSLATION	fbp translation	['fbp translation', 'fdp translation', 'b4232 translation', 'ECK4227 translation']
EG12419_TRANSLATION	gatY translation	['gatY translation', 'yegF translation', 'b2096 translation', 'ECK2089 translation']
EG20044_TRANSLATION	dctA translation	['dctA translation', 'b3528 translation', 'ECK3513 translation']
EG30030_TRANSLATION	glnW translation	['glnW translation', 'glnU-beta translation', 'glnUbeta translation', 'b0668 translation', 'ECK0658 translation']
