Object ID	Display Name	Synonyms
EG12234_REPLICATION	rlmJ replication	['rlmJ replication', 'yhiR replication', 'b3499 replication', 'ECK3484 replication']
G6486_REPLICATION	zapC replication	['zapC replication', 'ycbW replication', 'b0946 replication', 'ECK0937 replication']
EG11592_REPLICATION	ybeD replication	['ybeD replication', 'b0631 replication', 'ECK0624 replication']
G6876_REPLICATION	rsxE replication	['rsxE replication', 'ydgQ replication', 'b1632 replication', 'ECK1628 replication']
EG11186_REPLICATION	yiaA replication	['yiaA replication', 'b3562 replication', 'ECK3551 replication']
EG11538_REPLICATION	yfiC replication	['yfiC replication', 'trmM replication', 'b2575 replication', 'ECK2573 replication']
EG11196_REPLICATION	yidB replication	['yidB replication', 'b3698 replication', 'ECK3690 replication']
G6262_REPLICATION	ybaT replication	['ybaT replication', 'b0486 replication', 'ECK0480 replication']
EG12146_REPLICATION	rapZ replication	['rapZ replication', 'yhbJ replication', 'b3205 replication', 'ECK3194 replication']
EG10997_REPLICATION	mnmE replication	['mnmE replication', 'trmE replication', 'thdF replication', 'b3706 replication', 'ECK3699 replication']
EG10344_REPLICATION	ftsW replication	['ftsW replication', 'b0089 replication', 'ECK0090 replication']
EG11108_REPLICATION	ybgA replication	['ybgA replication', 'tkp replication', 'b0707 replication', 'ECK0696 replication']
G6873_REPLICATION	rsxC replication	['rsxC replication', 'ydgN replication', 'b1629 replication', 'ECK1625 replication']
G6093_REPLICATION	bamA replication	['bamA replication', 'yzzY replication', 'yzzN replication', 'ecfK replication', 'yaeT replication', 'b0177 replication', 'ECK0176 replication']
G7422_REPLICATION	truD replication	['truD replication', 'ygbO replication', 'b2745 replication', 'ECK2740 replication']
G7835_REPLICATION	yjeJ replication	['yjeJ replication', 'b4145 replication', 'ECK4139 replication']
EG12853_REPLICATION	abgT replication	['abgT replication', 'ydaH replication', 'b1336 replication', 'ECK1332 replication']
EG11730_REPLICATION	viaA replication	['viaA replication', 'yieD replication', 'yieD_1 replication', 'yieD_2 replication', 'yieM replication', 'b3745 replication', 'ECK3739 replication']
G6416_REPLICATION	rlmF replication	['rlmF replication', 'ybiN replication', 'b0807 replication', 'ECK0796 replication']
EG11376_REPLICATION	ftsP replication	['ftsP replication', 'sui replication', 'sufI replication', 'b3017 replication', 'ECK3008 replication']
G7681_REPLICATION	yhcB replication	['yhcB replication', 'b3233 replication', 'ECK3222 replication']
G6603_REPLICATION	bluF replication	['bluF replication', 'ycgF replication', 'b1163 replication', 'ECK1150 replication']
EG11914_REPLICATION	eptC replication	['eptC replication', 'yijP replication', 'b3955 replication', 'ECK3946 replication']
EG12207_REPLICATION	rlmA replication	['rlmA replication', 'rrmA replication', 'yebH replication', 'b1822 replication', 'ECK1820 replication']
G7550_REPLICATION	yghR replication	['yghR replication', 'b2984 replication', 'ECK2978 replication']
EG12504_REPLICATION	cycA replication	['cycA replication', 'ytfD replication', 'dagA replication', 'b4208 replication', 'ECK4204 replication']
EG10984_REPLICATION	sulA replication	['sulA replication', 'sfiA replication', 'suf replication', 'b0958 replication', 'ECK0949 replication']
EG11372_REPLICATION	tadA replication	['tadA replication', 'yfhC replication', 'b2559 replication', 'ECK2557 replication']
EG10340_REPLICATION	ftsE replication	['ftsE replication', 'b3463 replication', 'ECK3447 replication']
G7417_REPLICATION	ygbJ replication	['ygbJ replication', 'b2736 replication', 'ECK2731 replication']
G0-10699_REPLICATION	sdsN replication	['sdsN replication', 'b4719 replication', 'ECK4576 replication']
G7028_REPLICATION	flhB replication	['flhB replication', 'yecQ replication', 'flaG replication', 'b1880 replication', 'ECK1881 replication']
EG10943_REPLICATION	selD replication	['selD replication', 'fdhB replication', 'b1764 replication', 'ECK1762 replication']
G7188_REPLICATION	yfbU replication	['yfbU replication', 'b2294 replication', 'ECK2288 replication']
EG12232_REPLICATION	dtpB replication	['dtpB replication', 'yhiP replication', 'b3496 replication', 'ECK3481 replication']
G6925_REPLICATION	ydiV replication	['ydiV replication', 'rflP replication', 'b1707 replication', 'ECK1705 replication']
G7845_REPLICATION	rlmB replication	['rlmB replication', 'yjfH replication', 'b4180 replication', 'ECK4176 replication']
EG12371_REPLICATION	nlpI replication	['nlpI replication', 'yhbM replication', 'b3163 replication', 'ECK3151 replication']
G6996_REPLICATION	pdeD replication	['pdeD replication', 'yoaD replication', 'b1815 replication', 'ECK1813 replication']
EG12866_REPLICATION	proQ replication	['proQ replication', 'yoeC replication', 'yobE replication', 'yebJ replication', 'b1831 replication', 'ECK1830 replication']
EG10145_REPLICATION	creD replication	['creD replication', 'refII replication', 'cet replication', 'ref replication', 'b4400 replication', 'ECK4392 replication']
G7297_REPLICATION	tmcA replication	['tmcA replication', 'ypfI replication', 'b2474 replication', 'ECK2470 replication']
G6888_REPLICATION	ydhL replication	['ydhL replication', 'b1648 replication', 'ECK1644 replication']
EG11961_REPLICATION	lldP replication	['lldP replication', 'lct replication', 'lctP replication', 'b3603 replication', 'ECK3593 replication']
G6874_REPLICATION	rsxD replication	['rsxD replication', 'ydgO replication', 'b1630 replication', 'ECK1626 replication']
G6238_REPLICATION	thiI replication	['thiI replication', 'nuvA replication', 'nuvC replication', 'yajK replication', 'b0423 replication', 'ECK0417 replication']
EG11203_REPLICATION	yihA replication	['yihA replication', 'engB replication', 'b3865 replication', 'ECK3857 replication']
G6568_REPLICATION	ycfP replication	['ycfP replication', 'b1108 replication', 'ECK1094 replication']
G6871_REPLICATION	rsxA replication	['rsxA replication', 'ydgL replication', 'b1627 replication', 'ECK1623 replication']
EG12017_REPLICATION	yohD replication	['yohD replication', 'b2136 replication', 'ECK2129 replication']
EG12098_REPLICATION	rluD replication	['rluD replication', 'yfiI replication', 'sfhB replication', 'yfil replication', 'b2594 replication', 'ECK2592 replication']
G6433_REPLICATION	pdeI replication	['pdeI replication', 'yliE replication', 'b0833 replication', 'ECK0823 replication']
EG11753_REPLICATION	chaA replication	['chaA replication', 'b1216 replication', 'ECK1210 replication']
EG11256_REPLICATION	iraP replication	['iraP replication', 'yaiB replication', 'b0382 replication', 'ECK0377 replication']
EG11311_REPLICATION	dusB replication	['dusB replication', 'yhdG replication', 'b3260 replication', 'ECK3247 replication']
G7680_REPLICATION	zapE replication	['zapE replication', 'yhcM replication', 'b3232 replication', 'ECK3221 replication']
G6240_REPLICATION	yajQ replication	['yajQ replication', 'b0426 replication', 'ECK0420 replication']
EG11798_REPLICATION	hofC replication	['hofC replication', 'yacD replication', 'hopC replication', 'b0106 replication', 'ECK0105 replication']
EG10812_REPLICATION	queA replication	['queA replication', 'tsaA replication', 'b0405 replication', 'ECK0399 replication']
G0-10647_REPLICATION	ypdK replication	['ypdK replication', 'b4680 replication', 'ECK4495 replication']
EG11612_REPLICATION	proP replication	['proP replication', 'b4111 replication', 'ECK4104 replication']
G7714_REPLICATION	tusD replication	['tusD replication', 'yheN replication', 'b3345 replication', 'ECK3332 replication']
EG11086_REPLICATION	ftsL replication	['ftsL replication', 'mraR replication', 'yabD replication', 'b0083 replication', 'ECK0084 replication']
EG12704_REPLICATION	yggM replication	['yggM replication', 'b2956 replication', 'ECK2951 replication']
G7618_REPLICATION	yhaI replication	['yhaI replication', 'b3104 replication', 'ECK3095 replication']
G7021_REPLICATION	cmoB replication	['cmoB replication', 'yecP replication', 'b1871 replication', 'ECK1872 replication']
EG12262_REPLICATION	yhjR replication	['yhjR replication', 'b3535 replication', 'ECK3520 replication']
EG11330_REPLICATION	gabP replication	['gabP replication', 'b2663 replication', 'ECK2657 replication']
G6096_REPLICATION	tilS replication	['tilS replication', 'yaeN replication', 'mesJ replication', 'b0188 replication', 'ECK0187 replication']
EG10597_REPLICATION	minD replication	['minD replication', 'minB replication', 'b1175 replication', 'ECK1163 replication']
EG11938_REPLICATION	pdeC replication	['pdeC replication', 'yjcC replication', 'b4061 replication', 'ECK4053 replication']
EG11011_REPLICATION	tolR replication	['tolR replication', 'b0738 replication', 'ECK0727 replication']
EG11932_REPLICATION	dusA replication	['dusA replication', 'yjbN replication', 'b4049 replication', 'ECK4041 replication']
EG11780_REPLICATION	ydeK replication	['ydeK replication', 'orfT replication', 'yneO replication', 'b4696 replication', 'b1510 replication', 'ECK1503 replication']
EG11006_REPLICATION	tnaB replication	['tnaB replication', 'tnaP replication', 'trpP replication', 'b3709 replication', 'ECK3702 replication']
EG11247_REPLICATION	rlmD replication	['rlmD replication', 'ygcA replication', 'rumA replication', 'b2785 replication', 'ECK2779 replication']
EG12450_REPLICATION	norW replication	['norW replication', 'ygaL replication', 'ygbD replication', 'b2711 replication', 'ECK2706 replication']
EG11524_REPLICATION	ybfD replication	['ybfD replication', 'b0706 replication', 'ECK0695 replication']
G7409_REPLICATION	pncC replication	['pncC replication', 'ygaD replication', 'b2700 replication', 'ECK2695 replication']
EG10658_REPLICATION	bamC replication	['bamC replication', 'dapX replication', 'nlpB replication', 'b2477 replication', 'ECK2473 replication']
EG10523_REPLICATION	rsmA replication	['rsmA replication', 'ksgA replication', 'b0051 replication', 'ECK0052 replication']
EG11184_REPLICATION	yhhA replication	['yhhA replication', 'b3448 replication', 'ECK3432 replication']
EG10406_REPLICATION	gltS replication	['gltS replication', 'gltC replication', 'b3653 replication', 'ECK3643 replication']
EG12192_REPLICATION	nadK replication	['nadK replication', 'yfjE replication', 'yfjB replication', 'b2615 replication', 'ECK2611 replication']
G7698_REPLICATION	tsaC replication	['tsaC replication', 'yrdC replication', 'rimN replication', 'b3282 replication', 'ECK3269 replication']
EG11492_REPLICATION	qorA replication	['qorA replication', 'hzc replication', 'hcz replication', 'qor replication', 'b4051 replication', 'ECK4043 replication']
