Frame ID	Name	Left	Right	Direction	Genes	Promoter	Terminators
TU0-12837	rcsF-yaeB	218885	219995	-	"[""EG11502"", ""EG11503""]"	PM_WC-230	"[""TERM_WC-1790""]"
TU0-12838	gmhB	222806	223410	+	"[""EG11736""]"	PM0-9966	"[""TERM_WC-829""]"
TU0-12839	dkgB	229098	229972	+	"[""EG11648""]"	PM0-10442	"[""TERM_WC-476""]"
TU0-12840	yafDE	231064	232551	+	"[""EG11651"", ""EG11650""]"	PM0-9742	"[""TERM_WC-2409""]"
TU0-12841	mltD	232595	234025	-	"[""EG10246""]"	PM0-44388	"[""TERM_WC-1317""]"
TU0-12842	gloB	234025	234926	-	"[""G6099""]"	PM0-44390	"[""TERM_WC-805""]"
TU0-12843	dnaQ	236067	236800	+	"[""EG10243""]"	PM_WC-59	"[""TERM_WC-497""]"
TU0-12844	yafT	237235	238122	+	"[""G6101""]"	PM0-44392	"[""TERM_WC-2416""]"
TU0-12845	C0067	238462	238588	+	"[""G0-8896""]"	PM_WC-29	"[""TERM_WC-239""]"
TU0-12846	lpcA	243468	244123	+	"[""G6106""]"	PM0-44397	"[""TERM_WC-1168""]"
TU0-12847	yafJ	244327	245096	+	"[""G6107""]"	PM_WC-309	"[""TERM_WC-2411""]"
TU0-12848	yafK	245063	245993	-	"[""G6108""]"	PM0-44398	"[""TERM_WC-2412""]"
TU0-12849	dinJ-yafQ	245959	246615	-	"[""G6110"", ""G6109""]"	PM0-10350	"[""TERM_WC-472""]"
TU0-12850	yafL	246641	247463	+	"[""G6111""]"	PM0-44399	"[""TERM_WC-2413""]"
TU0-12851	rayT	247544	248136	+	"[""G6112""]"	PM0-44400	"[""TERM_WC-1778""]"
TU0-12852	lafU	250072	250829	+	"[""G6114""]"	PM_WC-151	"[""TERM_WC-1123""]"
TU0-12853	dinB-yafNOP	250880	253163	+	"[""G6118"", ""G6117"", ""G6116"", ""G6115""]"	PM0-10387	"[""TERM_WC-468""]"
TU0-12854	yafNOP	251969	253163	+	"[""G6118"", ""G6117"", ""G6116""]"	PM0-9802	"[""TERM_WC-2414""]"
TU0-12855	ykfJ-prfH	253467	254204	+	"[""EG11496"", ""G6119""]"	PM_WC-595	"[""TERM_WC-3748""]"
TU0-12856	gpt	255977	256437	+	"[""EG10414""]"	PM_WC-102	"[""TERM_WC-847""]"
TU0-12857	frsA	256502	257773	+	"[""EG11091""]"	PM0-10206	"[""TERM_WC-693""]"
TU0-12858	crl	257810	258232	+	"[""EG11092""]"	PM0-9747	"[""TERM_WC-337""]"
TU0-12859	yafY-ykfBF-yafX-ykfGH-yafW-ykfI	262550	265777	-	"[""G6126"", ""G6125"", ""G6124"", ""G6123"", ""G6122"", ""G0-10432"", ""G6121"", ""G6120""]"	PM_WC-310	"[""TERM_WC-2421""]"
TU0-12860	ykfA-yafZ	266406	268184	-	"[""G6128"", ""G6127""]"	PM_WC-593	"[""TERM_WC-3742""]"
TU0-12861	perR	268511	269406	-	"[""G6129""]"	PM_WC-208	"[""TERM_WC-1580""]"
TU0-12862	insN-1I-1O-1	269450	271481	+	"[""G6132"", ""G6131"", ""G6130""]"	PM0-46127	"[""TERM_WC-1057""]"
TU0-12863	ykfC	272071	273218	+	"[""G6133""]"	PM_WC-594	"[""TERM_WC-3745""]"
TU0-12864	mmuPM	274343	276873	+	"[""G6136"", ""G6135""]"	PM0-44406	"[""TERM_WC-1319""]"
TU0-12865	insA-2B-2-afuBC-insAB-2	276978	279099	-	"[""G6139"", ""G6138"", ""G0-10537"", ""G6137"", ""EG12340""]"	PM_WC-117	"[""TERM_WC-1010""]"
TU0-12866	yagAB-ykgN	279246	281207	-	"[""EG12338"", ""EG12339"", ""G0-10433""]"	PM_WC-311	"[""TERM_WC-2423""]"
TU0-12867	yagEF	281447	284394	+	"[""G6141"", ""G6140""]"	PM0-44411	"[""TERM_WC-2425""]"
TU0-12868	yagGH	284495	287625	+	"[""G6143"", ""G6142""]"	PM0-44413	"[""TERM_WC-2426""]"
TU0-12869	yagI	287626	288416	-	"[""G6144""]"	PM0-44417	"[""TERM_WC-2430""]"
TU0-12870	insA-3B-3-insAB-3	289871	290570	-	"[""G6146"", ""G0-10538""]"	PM_WC-118	"[""TERM_WC-1011""]"
TU0-12871	yagK	291544	292342	-	"[""G6148""]"	PM0-44418	"[""TERM_WC-2432""]"
TU0-12872	yagML	292442	294023	-	"[""G6150"", ""G6149""]"	PM_WC-313	"[""TERM_WC-2434""]"
TU0-12873	yagN	294361	294884	-	"[""G6151""]"	PM0-44420	"[""TERM_WC-2438""]"
TU0-12874	intF	294918	296320	-	"[""G6152""]"	PM_WC-136	"[""TERM_WC-1063""]"
TU0-12875	yagP	296603	297015	-	"[""G6153""]"	PM_WC-314	"[""TERM_WC-2439""]"
TU0-12876	paoABCD	296992	301797	-	"[""G6157"", ""G6156"", ""G6155"", ""G6154""]"	PM_WC-204	"[""TERM_WC-1548""]"
TU0-12877	ykgJ	303075	303482	-	"[""G6159""]"	PM0-44424	"[""TERM_WC-3767""]"
TU0-12878	ecpBCDE	303717	309343	-	"[""G6163"", ""G6162"", ""G6161"", ""G6160""]"	PM0-9969	"[""TERM_WC-535""]"
TU0-12879	ecpA	309306	310021	-	"[""G6164""]"	PM0-44426	"[""TERM_WC-533""]"
TU0-12880	ecpR	309968	310617	-	"[""G6165""]"	PM0-44427	"[""TERM_WC-537""]"
TU0-12881	ykgMO	311596	312029	-	"[""G6167"", ""G0-10434""]"	PM0-9892	"[""TERM_WC-3769""]"
TU0-12882	eaeH-insE-1F-1-insEF-1	313581	315679	+	"[""G6169"", ""G6168"", ""G0-10525"", ""EG12161""]"	PM_WC-62	"[""TERM_WC-526""]"
TU0-12883	ykgA	315672	316360	-	"[""G6170""]"	PM_WC-596	"[""TERM_WC-3749""]"
TU0-12884	ykgIB	316948	317791	-	"[""G6173"", ""G6171""]"	PM_WC-598	"[""TERM_WC-3765""]"
TU0-12885	ykgC	317898	319439	-	"[""G6174""]"	PM0-44438	"[""TERM_WC-3757""]"
TU0-12886	ykgD	319417	320307	+	"[""G6175""]"	PM0-44441	"[""TERM_WC-3759""]"
TU0-12887	ykgEFG	320735	323679	+	"[""G6178"", ""G6177"", ""G6176""]"	PM0-44443	"[""TERM_WC-3761""]"
TU0-12888	ykgH	323918	324588	-	"[""G6180""]"	PM_WC-597	"[""TERM_WC-3764""]"
TU0-12889	yahA	331263	332685	+	"[""EG11236""]"	PM0-9569	"[""TERM_WC-2442""]"
TU0-12890	yahB	332723	333657	-	"[""G6181""]"	PM_WC-316	"[""TERM_WC-2443""]"
TU0-12891	yahC	333747	334292	-	"[""G6182""]"	PM0-44449	"[""TERM_WC-2444""]"
TU0-12892	yahDEFG	334504	338969	+	"[""G6186"", ""G6185"", ""G6184"", ""G6183""]"	PM_WC-317	"[""TERM_WC-2445""]"
TU0-12893	yahH	339017	339315	+	"[""G0-10550""]"	PM_WC-318	"[""TERM_WC-2447""]"
TU0-12894	yahIJ	339389	341733	+	"[""G6189"", ""G6188""]"	PM_WC-319	"[""TERM_WC-2448""]"
TU0-12895	yahK	342108	343159	+	"[""G6190""]"	PM_WC-320	"[""TERM_WC-2449""]"
TU0-12896	yahL	343400	344217	+	"[""G6191""]"	PM_WC-321	"[""TERM_WC-2450""]"
TU0-12897	yahM	344476	344875	+	"[""G6192""]"	PM0-44450	"[""TERM_WC-2451""]"
TU0-12900	mhpT	374610	375896	+	"[""G6206""]"	PM0-10441	"[""TERM_WC-1295""]"
TU0-12901	yaiL	375996	376537	+	"[""G6207""]"	PM_WC-323	"[""TERM_WC-2462""]"
TU0-12902	frmRAB	376757	379105	-	"[""G6209"", ""EG50010"", ""G6208""]"	PM_WC-85	"[""TERM_WC-690""]"
TU0-12903	yaiXO	379291	380283	-	"[""G6211"", ""G6210""]"	PM_WC-326	"[""TERM_WC-2474""]"
TU0-12904	insC-1D-1-insCD-1	380530	381805	+	"[""G6213"", ""G6212"", ""G0-10541""]"	PM_WC-120	"[""TERM_WC-1016""]"
TU0-12905	yaiF	381726	382114	-	"[""G6214""]"	PM_WC-322	"[""TERM_WC-2458""]"
TU0-12906	yaiP	381961	383209	-	"[""G6215""]"	PM0-44457	"[""TERM_WC-2466""]"
TU0-12908	hemB	387975	389085	-	"[""EG10428""]"	PM0-44462	"[""TERM_WC-897""]"
TU0-12910	insE-2F-2-insEF-2	390961	392134	-	"[""G6224"", ""G0-10529""]"	PM_WC-125	"[""TERM_WC-1022""]"
TU0-12911	yaiU	392239	393644	+	"[""G6225""]"	PM_WC-325	"[""TERM_WC-2472""]"
TU0-12912	yaiV	393685	394355	+	"[""G6226""]"	PM0-44465	"[""TERM_WC-2473""]"
TU0-12913	iraP	400543	400872	+	"[""EG11256""]"	PM0-9521	"[""TERM_WC-1073""]"
TU0-12914	yaiI	404947	405448	+	"[""G6230""]"	PM0-44469	"[""TERM_WC-2459""]"
TU0-12915	yaiE	407372	407687	+	"[""EG12159""]"	PM0-9976	"[""TERM_WC-2457""]"
TU0-12916	ykiA	407833	408176	+	"[""G6231""]"	PM_WC-599	"[""TERM_WC-3771""]"
TU0-12917	sbcDC	411829	416201	-	"[""EG11094"", ""EG10927""]"	PM0-9646	"[""TERM_WC-2005""]"
TU0-12918	brnQ-proY	418712	421585	+	"[""G6233"", ""EG12168""]"	PM0-9977	"[""TERM_WC-231""]"
TU0-12919	yajD	429754	430178	+	"[""EG11097""]"	PM0-44474	"[""TERM_WC-2481""]"
TU0-12920	yajI	431534	432258	-	"[""EG12874""]"	PM0-44476	"[""TERM_WC-2483""]"
TU0-12921	nrdR-ribDE-nusB-thiL-pgpA	432201	436333	+	"[""EG10704"", ""G6234"", ""EG10666"", ""EG11322"", ""EG11321"", ""EG11320""]"	PM0-9643	"[""TERM_WC-1481""]"
TU0-12924	panE-yajL	442273	443739	-	"[""G6239"", ""G198""]"	PM_WC-203	"[""TERM_WC-1545""]"
TU0-12925	yajR	444524	445911	-	"[""G6241""]"	PM0-9979	"[""TERM_WC-2487""]"
TU0-12926	ampG	451292	452910	-	"[""EG12183""]"	PM0-44479	"[""TERM_WC-102""]"
TU0-12927	yajG	452811	453391	-	"[""EG12182""]"	PM_WC-327	"[""TERM_WC-2482""]"
TU0-12928	tig	454217	455657	+	"[""EG11003""]"	PM0-9980	"[""TERM_WC-2182""]"
TU0-12931	ybaV	462976	463534	+	"[""G6243""]"	PM0-44482	"[""TERM_WC-2505""]"
TU0-12932	fadM	463584	464026	+	"[""G6244""]"	PM0-44483	"[""TERM_WC-612""]"
TU0-12933	queC	464074	464771	-	"[""G6245""]"	PM_WC-226	"[""TERM_WC-1759""]"
TU0-12934	ybaE	464834	466536	-	"[""EG13217""]"	PM_WC-329	"[""TERM_WC-2490""]"
TU0-12935	cof	466636	467456	+	"[""G6246""]"	PM_WC-46	"[""TERM_WC-324""]"
TU0-12936	ybaO	467576	468067	+	"[""G6247""]"	PM0-10221	"[""TERM_WC-2498""]"
TU0-12937	mdlAB	468095	471643	+	"[""EG11622"", ""G6248""]"	PM_WC-165	"[""TERM_WC-1235""]"
TU0-12938	ffs	475623	475787	+	"[""EG30027""]"	PM0-44485	"[""TERM_WC-633""]"
