ID	Name	Gene	Location	Modified form	Comments
alaX-tRNA	tRNAalaX	EG30012	"[""CCO-CYTOSOL""]"	"[""charged-alaX-tRNA""]"	"Assumed in CCO-CYTOSOL
"
argQ-tRNA	tRNAargQ	EG30013	"[""CCO-CYTOSOL""]"	"[""charged-argQ-tRNA""]"	"Assumed in CCO-CYTOSOL
"
argU-tRNA	tRNAargU	EG30014	"[""CCO-CYTOSOL""]"	"[""charged-argU-tRNA""]"	"Assumed in CCO-CYTOSOL
"
argV-tRNA	tRNAargV	EG30015	"[""CCO-CYTOSOL""]"	"[""charged-argV-tRNA""]"	"Assumed in CCO-CYTOSOL
"
argW-tRNA	tRNAargW	EG30016	"[""CCO-CYTOSOL""]"	"[""charged-argW-tRNA""]"	"Assumed in CCO-CYTOSOL
"
argX-tRNA	tRNAargX	EG30017	"[""CCO-CYTOSOL""]"	"[""charged-argX-tRNA""]"	"Assumed in CCO-CYTOSOL
"
argY-tRNA	tRNAargY	EG30018	"[""CCO-CYTOSOL""]"	"[""charged-argY-tRNA""]"	"Assumed in CCO-CYTOSOL
"
argZ-tRNA	tRNAargZ	EG30019	"[""CCO-CYTOSOL""]"	"[""charged-argZ-tRNA""]"	"Assumed in CCO-CYTOSOL
"
asnT-tRNA	tRNAasnT	EG30020	"[""CCO-CYTOSOL""]"	"[""charged-asnT-tRNA""]"	"Assumed in CCO-CYTOSOL
"
asnU-tRNA	tRNAasnU	EG30021	"[""CCO-CYTOSOL""]"	"[""charged-asnU-tRNA""]"	"Assumed in CCO-CYTOSOL
"
asnV-tRNA	tRNAasnV	EG30022	"[""CCO-CYTOSOL""]"	"[""charged-asnV-tRNA""]"	"Assumed in CCO-CYTOSOL
"
aspT-tRNA	tRNAaspT	EG30023	"[""CCO-CYTOSOL""]"	"[""charged-aspT-tRNA""]"	"Assumed in CCO-CYTOSOL
"
aspU-tRNA	tRNAaspU	EG30024	"[""CCO-CYTOSOL""]"	"[""charged-aspU-tRNA""]"	"Assumed in CCO-CYTOSOL
"
aspV-tRNA	tRNAaspV	EG30025	"[""CCO-CYTOSOL""]"	"[""charged-aspV-tRNA""]"	"Assumed in CCO-CYTOSOL
"
cysT-tRNA	tRNAcysT	G7991	"[""CCO-CYTOSOL""]"	"[""charged-cysT-tRNA""]"	"Assumed in CCO-CYTOSOL
"
glnU-tRNA	tRNAglnU	EG30028	"[""CCO-CYTOSOL""]"	"[""charged-glnU-tRNA""]"	"Assumed in CCO-CYTOSOL
"
glnV-tRNA	tRNAglnV	EG30029	"[""CCO-CYTOSOL""]"	"[""charged-glnV-tRNA""]"	"Assumed in CCO-CYTOSOL
"
glnW-tRNA	tRNAglnW	EG30030	"[""CCO-CYTOSOL""]"	"[""charged-glnW-tRNA""]"	"Assumed in CCO-CYTOSOL
"
glnX-tRNA	tRNAglnX	EG30031	"[""CCO-CYTOSOL""]"	"[""charged-glnX-tRNA""]"	"Assumed in CCO-CYTOSOL
"
gltT-tRNA	tRNAgltT	EG30032	"[""CCO-CYTOSOL""]"	"[""charged-gltT-tRNA""]"	"Assumed in CCO-CYTOSOL
"
gltU-tRNA	tRNAgltU	EG30033	"[""CCO-CYTOSOL""]"	"[""charged-gltU-tRNA""]"	"Assumed in CCO-CYTOSOL
"
gltV-tRNA	tRNAgltV	EG30034	"[""CCO-CYTOSOL""]"	"[""charged-gltV-tRNA""]"	"Assumed in CCO-CYTOSOL
"
gltW-tRNA	tRNAgltW	EG30035	"[""CCO-CYTOSOL""]"	"[""charged-gltW-tRNA""]"	"Assumed in CCO-CYTOSOL
"
glyT-tRNA	tRNAglyT	EG30036	"[""CCO-CYTOSOL""]"	"[""charged-glyT-tRNA""]"	"Assumed in CCO-CYTOSOL
"
glyU-tRNA	tRNAglyU	EG30037	"[""CCO-CYTOSOL""]"	"[""charged-glyU-tRNA""]"	"Assumed in CCO-CYTOSOL
"
glyV-tRNA	tRNAglyV	EG30038	"[""CCO-CYTOSOL""]"	"[""charged-glyV-tRNA""]"	"Assumed in CCO-CYTOSOL
"
glyW-tRNA	tRNAglyW	EG30039	"[""CCO-CYTOSOL""]"	"[""charged-glyW-tRNA""]"	"Assumed in CCO-CYTOSOL
"
glyX-tRNA	tRNAglyX	EG30040	"[""CCO-CYTOSOL""]"	"[""charged-glyX-tRNA""]"	"Assumed in CCO-CYTOSOL
"
