Frame ID	Name	pH 7.2 formula	pH 7.2 charge	pH 7.2 Weight	Feist formula	Media Concentration (mM)	Biomass information	Maximum exchange rate (mmol/gDSW/hr)	Fake metabolite	Equivalent enzyme frameId	Comments
2agpg160	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)	C22H44O9P	-1	483.5546000000	C22H44O9P1		"{""core"": [], ""wildtype"": []}"			[]	
2agpg161	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)	C22H42O9P	-1	481.5388000000	C22H42O9P1		"{""core"": [], ""wildtype"": []}"			[]	
2agpg180	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)	C24H48O9P	-1	511.6082000000	C24H48O9P1		"{""core"": [], ""wildtype"": []}"			[]	
2agpg181	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)	C24H46O9P	-1	509.5924000000	C24H46O9P1		"{""core"": [], ""wildtype"": []}"			[]	
2ahbut	(S)-2-Aceto-2-hydroxybutanoate	C6H9O4	-1	145.1331000000	C6H9O4		"{""core"": [], ""wildtype"": []}"			[]	
2amsa	2-Aminomalonate semialdehyde	C3H4NO3	-1	102.0686000000	C3H5NO3		"{""core"": [], ""wildtype"": []}"			[]	
2aobut	L-2-Amino-3-oxobutanoate	C4H7NO3	0	117.1033000000	C4H7NO3		"{""core"": [], ""wildtype"": []}"			[]	
2cpr5p	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate	C12H14NO9P	-2	347.2146000000	C12H13NO9P		"{""core"": [], ""wildtype"": []}"			[]	
2dda7p	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	C7H11O10P	-2	286.1279000000	C7H10O10P		"{""core"": [], ""wildtype"": []}"			[]	
2ddecg3p	2-dodecanoyl-sn-glycerol 3-phosphate	C15H30O7P	-1	353.3690000000	C15H30O7P1		"{""core"": [], ""wildtype"": []}"			[]	
2ddg6p	2-Dehydro-3-deoxy-D-gluconate 6-phosphate	C6H9O9P	-2	256.1021000000	C6H8O9P		"{""core"": [], ""wildtype"": []}"			[]	
2ddglcn	2-Dehydro-3-deoxy-D-gluconate	C6H9O6	-1	177.1311000000	C6H9O6		"{""core"": [], ""wildtype"": []}"			[]	
2dh3dgal	2-Dehydro-3-deoxy-D-galactonate	C6H9O6	-1	177.1311000000	C6H9O6		"{""core"": [], ""wildtype"": []}"			[]	
2dh3dgal6p	2-Dehydro-3-deoxy-D-galactonate 6-phosphate	C6H9O9P	-2	256.1021000000	C6H8O9P		"{""core"": [], ""wildtype"": []}"			[]	
2dhglcn	2-Dehydro-D-gluconate	C6H9O7	-1	193.1301000000	C6H9O7		"{""core"": [], ""wildtype"": []}"			[]	
2dhguln	2-Dehydro-L-gulonate	C6H9O7	-1	193.1301000000	C6H9O7		"{""core"": [], ""wildtype"": []}"			[]	
2dhp	2-Dehydropantoate	C6H9O4	-1	145.1331000000	C6H9O4		"{""core"": [], ""wildtype"": []}"			[]	
