"Gene"	"M9 Glucose minus AAs"	"N limited Glucose minus AAs"	"M9 Glucose plus AAs"	"M9 Glycerol plus AAs"	"P limited Glucose plus AAs"
"G7162"	60.29	59.1433333333	73.8933333333	57.3033333333	101.0
"G7163"	13.02	13.88	27.0333333333	15.0166666667	19.4466666667
"G7164"	12.54	10.3566666667	14.39	17.4266666667	10.0533333333
"G7165"	2.14	2.10666666667	1.27666666667	3.10333333333	2.23333333333
"G7166"	8.46333333333	7.75	4.1	9.00666666667	13.95
"G7167"	6.82	7.40666666667	4.47	6.82333333333	9.74666666667
"G7168"	11.7166666667	14.4333333333	12.12	9.78	19.65
"G7169"	6.37333333333	7.58	4.28	6.15	10.13
"G7170"	3.38333333333	3.52333333333	2.56	3.85333333333	10.6633333333
"G7171"	36.1266666667	34.46	54.4966666667	54.4766666667	17.6066666667
"G7172"	74.35	85.5466666667	131.75	150.926666667	26.4733333333
"G7173"	456.846666667	413.083333333	65.66	435.57	3579.09
"G7174"	60.3533333333	71.6066666667	59.5966666667	62.17	81.47
"G7175"	33.74	32.4766666667	34.0466666667	31.4266666667	29.3066666667
"G7176"	3.19333333333	2.59666666667	2.77333333333	3.40333333333	2.80333333333
"G7177"	3.77666666667	4.37	3.43	4.65	5.22
"G7178"	0.87	1.30333333333	0.4	1.49	1.88333333333
"G7179"	1.72	1.36333333333	1.17	4.68	3.15
"G7180"	0.59	0.63	0.973333333333	1.69666666667	1.14666666667
"G7181"	5.13333333333	4.63	3.3	5.81	3.54666666667
"G7182"	7.3	8.74666666667	7.37666666667	8.04333333333	4.62
"G7184"	144.05	175.383333333	247.853333333	149.95	141.04
"G7185"	41.1466666667	44.83	49.3833333333	44.4333333333	64.9966666667
"G7186"	10.8233333333	11.6266666667	46.7033333333	10.1533333333	15.7466666667
"G7187"	191.176666667	167.196666667	149.033333333	243.09	292.583333333
"G7188"	387.766666667	342.8	326.446666667	444.24	515.89
"G7189"	67.6833333333	72.8033333333	47.4366666667	79.1366666667	105.066666667
