"Gene"	"M9 Glucose minus AAs"	"N-limited Glucose minus AAs"	"M9 Glucose plus AAs"	"M9 Glycerol plus AAs"	"P-limited Glucose plus AAs"
"G7213"	1.0378342835	0.792864006834	1.78502100828	14.2676919414	0.285365263011
"G7214"	9.27053935863	16.2173805941	113.035606927	24.3786156293	50.1435113782
"G7215"	1.60662171445	1.17236228758	5.00961409026	2.65050938501	0.466082968294
"G7216"	15.0593238007	26.060769367	19.2248337661	25.2892131155	8.71795274133
"G7217"	6.62312111722	7.55363709304	2.45864461306	4.63008999193	18.3595924065
"G7218"	4.9426713425	4.52358265095	8.70363717075	5.60289508498	1.83481152529
"G7219"	43.4149194786	49.8545026385	26.3900909434	37.8940857303	6.66809068125
"G7220"	135.844287452	231.085674444	148.898262694	121.578279721	12.8055352615
"G7221"	3.31714234445	3.01927695539	3.94056256559	12.1013897274	0.598581656919
"G7222"	3.33506121883	1.24253772579	6.06671520127	4.48676200988	6.41926008197
"G7223"	1.81859836138	3.11657397367	4.16389641242	5.0877532697	1.75519229716
"G7224"	0.289885034683	0.212210587232	1.62352497158	0.281602556807	0.323470761172
"G7225"	0.594670777265	0.0	0.127017059222	1.13773166139	0.161658075373
"G7226"	0.219393102292	0.120138808606	0.158745078664	0.505667875191	0.202237484162
"G7227"	0.300499584026	0.103923048454	0.12503332889	0.184752086141	0.395516539899
"G7228"	1.75983900779	3.10748022252	1.61035192841	1.002812711	0.342685472895
"G7229"	1.33405397192	2.54882979685	0.693493571227	1.38384729408	0.868581218617
"G7230"	0.0351188458428	0.632560932506	0.605419964432	0.607810277417	0.200083315979
"G7231"	1.68298346199	2.87534925415	0.838629834909	1.77023538924	0.341174442185
"G7232"	2.22540632994	2.14514179795	4.26619658869	3.38554279252	2.4152915628
"G7233"	0.385918817024	0.0723417813807	0.144683562761	0.718609768929	0.611582646364
"G7234"	0.69615611276	0.345880518869	0.505008250758	0.374477413649	0.814309523461
"G7235"	0.345108678535	0.235442845152	0.191398362933	0.667308024828	0.315647482698
"G7236"	0.165227116419	0.547752985691	0.150996688705	0.57134344604	0.0493288286232
"G7237"	0.594334361562	0.858215202227	1.10151410946	0.663626400921	0.287923600978
"G7238"	0.0416333199893	0.659393660873	0.687119591726	0.396274315763	0.153731367435
"G7239"	6.85484743326	2.15898124123	2.39316387515	0.359212100761	2.69565081814
"G7240"	4.83638639206	3.7006485918	4.39754855952	7.85202097127	28.254644456
"G7241"	1.37409364067	16.5092014747	5.3035302708	6.9091268141	49.5136994511
"G7242"	10.5879003269	7.35086616212	8.89921532121	20.7646871716	1.8530335489
"G7243"	5.77531817305	5.05751256383	4.53609229771	1.90738040254	3.77923713642
"G7244"	10.1448262676	11.2756655384	3.10532338627	15.3559792915	3.84927698839
"G7245"	1.13614846448	2.02111355445	5.48500683682	6.76485279465	3.78609737505
"G7246"	0.0435889894354	0.500033332222	0.321921315438	0.732142973287	0.109696551146
"G7247"	0.614600141013	0.810987052918	0.14640127504	1.08338974212	0.35641735835
"G7248"	0.241729876791	0.309892454463	0.441361529814	1.13226910818	0.61611687203
"G7249"	0.296704117486	0.0435889894354	0.300222139979	0.517300686255	0.137477270849
"G7250"	0.605557594288	0.366105631387	1.99101314243	0.0173205080757	0.477912125814
"G7251"	6.81860934013	5.74886365583	1.61947522364	7.08118869494	10.7686412018
"G7252"	95.3788552738	100.528599082	45.8202651673	50.5779342533	117.899265053
"G7254"	232.580452532	200.57601161	130.091384931	183.698608142	225.496085775
"G7255"	3.18289176693	2.19809766237	0.334713808101	10.9901880481	1.42857738094
"G7256"	2.802718918	1.64894916032	0.783602790534	1.09006116036	1.47079343666
"G7257"	2.51596899822	1.67539050174	1.36551577557	1.97210547385	2.71643761816
