Gene	mRNA level (RPKM)	Translation efficiency (AU)
frwC	[1]	NA
frwD	[2]	NA
fryA	[1]	NA
fryB	[0]	NA
fryC	[0]	NA
fsaA	[5]	NA
fsaB	[2]	NA
fsr	11	1.03
ftnA	114	4.09
ftnB	26	0.97
ftsA	202	0.38
ftsB	234	0.16
ftsE	185	0.4
ftsH	642	0.54
ftsI	169	0.16
ftsK	84	0.46
ftsL	198	0.16
ftsN	133	0.5
ftsP	99	0.71
ftsQ	135	0.19
ftsW	106	0.21
ftsX	139	0.46
ftsY	151	1.05
ftsZ	396	1.31
fucA	[1]	NA
fucI	[3]	NA
fucK	[5]	NA
fucO	[4]	NA
fucP	[1]	NA
fucR	14	0.68
fucU	26	1.64
fumA	81	2.35
fumB	[5]	NA
fumC	19	2.02
fur	450	1.1
fusA	9266	0.7
fxsA	58	0.82
gabD	[2]	NA
gabP	[2]	NA
gabT	[3]	NA
gadA+gadB	[0]	NA
gadC	[1]	NA
gadE	[1]	NA
gadW	18	0.45
gadX	20	0.25
galE	58	2.29
galF	411	0.95
galK	39	0.61
galM	109	1.18
galP	26	1.09
galR	21	0.9
galS	[2]	NA
galT	33	0.78
galU	379	2.14
gapA	2934	2.78
garD	[3]	NA
garK	[6]	NA
garL	[1]	NA
garP	[0]	NA
garR	[7]	NA
gatA	152	0.64
gatB	119	0.56
gatC	127	0.8
gatD	34	1.44
gatY	288	1.48
gatZ	212	1.18
gcd	49	0.92
gcl	[1]	NA
gcp	99	1.53
gcvA	39	0.56
gcvH	58	3.07
gcvP	24	1.29
gcvR	91	0.49
gcvT	33	1.12
gdhA	17	1.71
gfcA	[8]	NA
gfcB	[2]	NA
gfcC	[4]	NA
gfcD	[2]	NA
gfcE	[5]	NA
ggt	[2]	NA
ghrA	21	2.03
ghrB	73	2.39
glcA	[3]	NA
glcB	10	1.69
glcC	11	0.55
glcD	[1]	NA
glcE	[2]	NA
glcF	[2]	NA
glcG	[7]	NA
gldA	[7]	NA
glf	185	1.28
glgA	44	0.29
glgB	45	0.2
glgC	39	0.51
glgP	36	0.38
glgS	[18]	NA
glgX	30	0.12
glk	31	2.42
glmM	272	1.61
glmS	475	1.17
glmU	385	0.65
glnA	88	2.18
glnB	189	2.12
glnD	27	0.53
glnE	44	0.37
glnG	21	0.49
glnH	22	2.22
glnK	[1]	NA
glnL	24	0.17
glnP	17	0.69
glnQ	16	1.18
glnS	372	1.7
gloA	126	3.18
gloB	19	1.57
glpA	[1]	NA
glpB	[1]	NA
glpC	[1]	NA
glpD	9	1.1
glpE	85	0.84
glpF	[7]	NA
glpG	109	0.53
glpK	13	2.15
glpQ	14	0.31
glpR	88	0.92
glpT	[5]	NA
glpX	45	1.77
glrK	17	0.21
glrR	24	0.37
gltA	124	1.49
gltB	95	0.87
gltD	93	1.05
gltF	15	2.47
gltI	52	1.86
gltJ	28	0.44
gltK	30	0.45
gltL	35	1.47
gltP	155	1.05
gltS	40	0.7
gltX	458	2.25
glxK	[4]	NA
glxR	[1]	NA
glyA	382	2.78
glyQ	662	1.44
glyS	657	1.52
gmd	[0]	NA
gmhB	63	1.66
gmk	382	0.89
gmm	[1]	NA
gmr	6	0.5
gnd	1064	2.01
gnsA	138	3.72
gnsB	106	3.42
gntK	[9]	NA
gntP	[5]	NA
gntR	59	0.78
gntT	14	0.37
gntU	7	0.32
gntX	61	0.01
gor	139	1.8
gph	171	0.59
gpmA	599	3.76
gpmM	210	2.17
gpp	89	0.25
gpr	[6]	NA
gpsA	287	0.39
gpt	388	3.2
greA	279	2.53
greB	39	0.87
groL	2305	1.74
groS	1932	2.35
grpE	680	2.62
grxA	49	1.94
grxB	25	2.83
grxC	474	1.25
grxD	411	3.88
gshA	158	0.63
gshB	124	1.7
gsiA	13	0.25
gsiB	9	0.62
gsiC	9	0.17
gsiD	[7]	NA
gsk	85	1.62
gspA	[1]	NA
gspB	[6]	NA
gspC	[1]	NA
gspD	[2]	NA
gspE	[1]	NA
gspF	[1]	NA
gspG	[1]	NA
gspH	[1]	NA
gspI	[2]	NA
gspJ	[1]	NA
gspK	[1]	NA
gspL	[2]	NA
gspM	[2]	NA
gspO	[2]	NA
gss	53	1.62
gst	27	2.03
gtrA	156	0.35
gtrB	113	0.86
gtrS	55	0.54
guaA	886	1.9
guaB	792	2.45
guaC	134	1.63
guaD	[4]	NA
gudD	6	1.49
gudP	[1]	NA
gudX	[2]	NA
gutM	[3]	NA
gutQ	28	1.65
gyrA	415	0.97
gyrB	281	1.53
hcaB	[2]	NA
hcaC	[2]	NA
hcaD	[3]	NA
hcaE	[5]	NA
hcaF	[2]	NA
hcaR	[5]	NA
hcaT	21	0.41
hchA	18	1.43
hcp	[2]	NA
hcr	[2]	NA
hda	79	0.18
hdeA	[23]	NA
hdeB	[9]	NA
hdeD	[7]	NA
hdfR	21	1.08
hdhA	49	1.34
helD	26	0.73
hemA	56	0.32
hemB	153	1.82
hemC	105	0.82
hemD	79	0.13
hemE	120	1.36
hemF	42	0.4
hemG	64	1.04
hemH	35	1.03
hemL	208	1.71
hemN	77	0.87
hemX	100	0.78
hemY	94	0.65
hflC	370	0.83
hflD	156	0.38
hflK	356	0.83
hflX	270	0.2
hfq	1057	2.03
hha	133	1.69
hicA	[15]	NA
hicB	[12]	NA
higA	[15]	NA
higB	[15]	NA
hinT	119	2.5
hipA	11	0.92
hipB	[18]	NA
hisA	85	0.79
hisB	101	1.27
hisC	83	1.27
hisD	95	1.16
hisF	79	0.97
hisG	99	2.22
hisH	97	0.9
hisI	90	2.01
hisJ	56	2.41
hisL	448	0.16
hisM	17	0.35
hisP	18	1.06
hisQ	22	0.31
hisS	308	0.94
hiuH	[2]	NA
hlyE	[0]	NA
hmp	25	2.97
hns	1459	4.54
hofB	[3]	NA
hofC	[3]	NA
hofM	[4]	NA
hofN	[2]	NA
hofO	[1]	NA
hofP	[1]	NA
hofQ	[1]	NA
hokA	[1]	NA
hokB	56	0.02
hokC	[0]	NA
hokD	82	0.02
hokE	[1]	NA
holA	85	0.13
holB	62	0.27
holC	188	0.11
holD	167	0.16
holE	39	2.35
hpf	167	0.46
hpt	329	1.84
hrpA	46	1
hrpB	33	0.31
hscA	277	0.63
hscB	253	0.44
hscC	[2]	NA
hsdM	95	1.7
hsdR	41	0.75
hsdS	45	0.94
hslJ	78	1.65
hslO	229	2.15
hslR	158	0.33
hslU	396	1.81
hslV	346	1.41
hspQ	210	0.3
hsrA	10	0.07
htpG	418	2.28
htpX	289	1.2
htrE	[1]	NA
hupA	2120	3.15
hupB	2321	2.45
hyaA	[0]	NA
hyaB	[1]	NA
hyaC	[1]	NA
hyaD	[2]	NA
hyaE	[2]	NA
hyaF	[1]	NA
hybA	15	0.58
hybB	15	0.24
hybC	35	0.61
hybD	46	0.22
hybE	43	0.21
hybF	[17]	NA
hybG	[22]	NA
hybO	18	0.84
hycA	[0]	NA
hycB	[1]	NA
hycC	[0]	NA
hycD	[1]	NA
hycE	[1]	NA
hycF	[2]	NA
hycG	[4]	NA
hycH	[9]	NA
hycI	18	0.83
hydN	[2]	NA
hyfA	[1]	NA
hyfB	[1]	NA
hyfC	[0]	NA
hyfD	[0]	NA
hyfE	[0]	NA
hyfF	[1]	NA
hyfG	[1]	NA
hyfH	[1]	NA
hyfI	[2]	NA
hyfJ	[2]	NA
hyfR	[1]	NA
hyi	[1]	NA
hypA	[5]	NA
hypB	[9]	NA
hypC	[6]	NA
hypD	8	0.78
hypE	9	0.62
hypF	4	0.66
hyuA	[1]	NA
iaaA	21	0.27
iadA	71	1.77
iap	13	0.59
ibpA	176	1.24
ibpB	83	0.57
ibsA	[8]	NA
ibsB	[21]	NA
ibsC	[16]	NA
ibsD	[47]	NA
ibsE	[45]	NA
icd	886	2.56
iclR	102	0.39
idi	[6]	NA
idnD	[1]	NA
idnK	[2]	NA
idnO	[3]	NA
idnR	11	0.58
idnT	[5]	NA
ihfA	765	1.12
ihfB	610	1.92
ileS	337	1.4
ilvA	37	0.72
ilvB	57	1.62
ilvC	28	2.37
ilvD	46	0.97
ilvE	62	2.57
ilvH	[14]	NA
ilvI	15	0.58
ilvL	1508	0.2
ilvM	[22]	NA
ilvN	44	1.57
ilvX	[157]	NA
ilvY	27	0.29
inaA	19	1.49
infA	1283	1.83
infB	827	1.28
infC	5767	0.3
insA	[0]	NA
insB	[0]	NA
insC	[0]	NA
insD	[0]	NA
insE	[0]	NA
insF	[0]	NA
insG	15	1.02
insH	[2]	NA
insI	[0]	NA
insJ	[8]	NA
insK	[6]	NA
insL	[0]	NA
insQ	33	0.11
intA	25	0.87
intD	16	0.08
intE	[3]	NA
intF	29	1.74
intR	16	0.05
intS	22	0.94
intZ	13	0.33
iraD	[2]	NA
iraM	[2]	NA
iraP	[16]	NA
iscA	731	0.62
iscR	318	1.34
iscS	620	1.66
iscU	587	1.81
iscX	340	0.95
ispA	132	0.55
ispB	206	1.01
ispD	133	0.28
ispE	277	0.14
ispF	148	0.65
ispG	197	0.65
ispH	120	1.02
ispU	235	0.27
ivbL	291	0.16
ivy	52	1.96
katE	[1]	NA
katG	126	1.71
kbaY	[1]	NA
kbaZ	[1]	NA
kbl	213	1.35
kch	9	1
kdgK	75	2.39
kdgR	100	1.72
kdgT	[7]	NA
kdpA	[0]	NA
kdpB	[1]	NA
kdpC	[6]	NA
kdpD	13	0.41
kdpE	14	0.71
kdpF	[0]	NA
kdsA	227	2.19
kdsB	198	1.31
kdsC	115	0.66
kdsD	103	0.56
kduD	[10]	NA
kduI	[6]	NA
kefA	64	0.89
kefB	13	0.19
kefC	9	0.52
kefF	[10]	NA
kefG	21	0.25
kgtP	445	0.79
kilR	[1]	NA
kptA	[4]	NA
kup	51	0.61
lacA	[1]	NA
lacI	25	0.82
lacY	[1]	NA
lacZ	[2]	NA
lamB	6	1.27
ldcA	21	1.4
ldcC	5	0.25
ldhA	101	1.96
ldrA+ldrC	[0]	NA
ldrB	[7]	NA
ldrD	86	0.01
lepA	316	1.44
lepB	263	0.38
leuA	26	0.99
leuB	39	1.29
leuC	36	1.65
leuD	45	1.78
leuE	30	0.83
leuL	470	0.29
leuO	[1]	NA
leuS	368	1.69
lexA	200	1.06
lgt	126	0.92
lhgO	[1]	NA
lhr	3	0.14
ligA	100	1.54
ligB	[2]	NA
ligT	28	0.26
lipA	431	2.13
lipB	73	1.03
lit	[4]	NA
livF	38	0.66
livG	31	0.53
livH	39	0.44
livJ	62	2.09
livK	43	1.5
livM	37	0.36
lldD	18	1.9
lldP	11	0.31
lldR	16	0.3
lnt	71	0.48
lolA	87	1.06
lolB	56	1.96
lolC	63	0.42
lolD	67	0.94
lolE	65	0.38
