Gene	mRNA level (RPKM)	Translation efficiency (AU)
ymjA	[20]	NA
ynaE+ydfK	[1]	NA
ynaI	23	0.71
ynaJ	345	1.61
ynaK	[3]	NA
ynbA	[0]	NA
ynbB	[0]	NA
ynbC	[2]	NA
ynbD	[3]	NA
ynbE	[26]	NA
ynbG	[0]	NA
yncA	[13]	NA
yncB	[4]	NA
yncD	21	1.32
yncE	61	2.57
yncG	[1]	NA
yncH	[0]	NA
yncJ	[2]	NA
yncL	[55]	NA
yneE	11	0.74
yneF	13	0.03
yneG	31	0.65
yneH	45	0.75
yneJ	10	0.83
yneK	[1]	NA
yneM	[61]	NA
ynfA	[10]	NA
ynfB	84	2.23
ynfC	14	0.79
ynfD	[13]	NA
ynfE	[0]	NA
ynfF	[3]	NA
ynfG	[2]	NA
ynfH	15	0.11
ynfK	[10]	NA
ynfL	[6]	NA
ynfM	[5]	NA
ynfN	[0]	NA
ynfO	[0]	NA
ynhF	191	2.19
ynhG	[6]	NA
yniA	[7]	NA
yniB	40	0.91
yniC	47	2.58
yniD	[3]	NA
ynjA	[9]	NA
ynjB	8	0.95
ynjC	[4]	NA
ynjD	[6]	NA
ynjE	9	1.94
ynjF	13	0.94
ynjH	[2]	NA
ynjI	[3]	NA
yoaA	21	0.2
yoaB	123	4.08
yoaC	[16]	NA
yoaE	47	0.65
yoaF	[24]	NA
yoaG	[2]	NA
yoaH	[34]	NA
yoaI	[1]	NA
yoaJ	161	1.49
yoaK	107	0.2
yobA	77	3.05
yobB	[11]	NA
yobD	20	0.57
yobF	2558	0.02
yobH	[29]	NA
yobI	[0]	NA
yodB	[1]	NA
yodC	[22]	NA
yodD	[2]	NA
yoeB	34	0.4
yoeI	859	1.44
yohC	[2]	NA
yohD	[13]	NA
yohF	[1]	NA
yohJ	[8]	NA
yohK	[9]	NA
yohN	53	1.83
yohO	84	1.38
yohP	[4]	NA
yojI	38	0.67
yojO	[0]	NA
ypaA	[16]	NA
ypdA	9	0.53
ypdB	21	0.55
ypdC	[9]	NA
ypdE	[1]	NA
ypdF	[1]	NA
ypdI	[1]	NA
ypdK	189	0.82
ypeA	60	0.68
ypeB	77	0.35
ypeC	[6]	NA
ypfG	[3]	NA
ypfH	24	1.15
ypfJ	58	0.9
ypfM	207	1.74
ypfN	91	0.99
yphA	[7]	NA
yphB	[4]	NA
yphC	[4]	NA
yphD	[1]	NA
yphE	[1]	NA
yphF	[1]	NA
yphG	[1]	NA
yphH	[5]	NA
ypjA	2	0.1
ypjD	47	0.81
ypjF	[1]	NA
ypjJ	[0]	NA
ypjK	[0]	NA
yqaA	120	0.02
yqaB	77	0.57
yqaE	80	2.52
yqcA	70	1.18
yqcC	64	1.7
yqcE	[0]	NA
yqcG	[0]	NA
yqeA	[4]	NA
yqeB	[2]	NA
yqeC	[1]	NA
yqeF	29	0.61
yqeG	61	1.1
yqeH	[3]	NA
yqeI	[2]	NA
yqeJ	[1]	NA
yqeK	[1]	NA
yqeL	[1]	NA
yqfA	26	0.16
yqfB	73	2.17
yqfG	[1]	NA
yqgA	[5]	NA
yqgB	434	0.46
yqgC	[0]	NA
yqgE	82	1.31
yqgF	63	0.63
yqhA	173	1.11
yqhC	12	1.35
yqhD	25	2.4
yqhG	[2]	NA
yqhH	[3]	NA
yqiA	118	0.23
yqiB	102	0.23
yqiC	119	4.52
yqiH	[1]	NA
yqiI	[2]	NA
yqiJ	[1]	NA
yqiK	[2]	NA
yqjA	97	0.59
yqjC	73	2.13
yqjD	129	3.12
yqjE	143	0.24
yqjF	[7]	NA
yqjG	[7]	NA
yqjH	12	2.83
yqjI	31	2.61
yqjK	120	0.14
yraH	[4]	NA
yraI	[0]	NA
yraJ	[2]	NA
yraK	[3]	NA
yraM	62	0.64
yraN	51	0.05
yraP	79	1.28
yraQ	38	1.32
yraR	[10]	NA
yrbA	225	2.02
yrbG	51	0.11
yrbL	74	0.61
yrbN	370	0.15
yrdA	46	1.76
yrdB	97	0.64
yrdD	121	0.22
yrfF	37	0.46
yrfG	114	0.59
yrhB	[7]	NA
yrhD	[1]	NA
ysaA	[10]	NA
ysaB	[3]	NA
ysgA	[7]	NA
yshB	493	1.75
ytcA	[0]	NA
ytfB	63	0.66
ytfE	[3]	NA
ytfF	10	0.26
ytfH	[14]	NA
ytfI	[1]	NA
ytfJ	15	1.72
ytfK	191	0.76
ytfL	32	0.88
ytfM	33	0.45
ytfN	41	0.24
ytfP	223	0.76
ytfQ	[4]	NA
ytfR	[2]	NA
ytfT	[2]	NA
ythA	[1]	NA
ytjA	[21]	NA
ytjB	31	0.29
ytjC	81	1.96
zapA	283	0.62
zapB	711	3.7
zinT	[11]	NA
zipA	270	0.61
zitB	[6]	NA
zntA	24	1.09
zntR	21	1.37
znuA	103	2.59
znuB	30	0.64
znuC	36	0.71
zraP	[0]	NA
zraR	19	0.39
zraS	6	0.11
zupT	41	0.77
zur	43	0.59
zwf	185	2.16
